,Наименование,Адрес,ИНН,Контакты
26,"ГКОУ РД ""ГОРЬКОВСКАЯ ООШ УНЦУКУЛЬСКОГО РАЙОНА""","368015, ДАГЕСТАН РЕСП, ХАСАВЮРТОВСКИЙ Р-Н, КАЗМААУЛ С, УЛ",534029736.0,8 (888) 888-88-88
27,"ГКОУ РД ""ДЖУРМУТСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""","368425, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГЕРЕЛЬ",532140993.0,8 (967) 939-00-20
28,"ГКОУ РД ""КАЗИЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АХВАХСКОГО РАЙОНА""","368990, ДАГЕСТАН РЕСП, АХВАХСКИЙ Р-Н, КАРАТА С, БОКОХИНСКАЯ УЛ, ДОМ 35",503005870.0,8 (929) 865-02-88
29,"ГКОУ РД ""КАЛЬЯЛСКАЯ СОШ РУТУЛЬСКОГО РАЙОНА""","368700, ДАГЕСТАН РЕСП, РУТУЛЬСКИЙ Р-Н, КАЛЬЯЛ С, ДОМ ВЕРХНЯЯ 1",505008121.0,
30,"ГКОУ РД ""КАРАТЮБИНСКАЯ ООШ ТЛЯРАТИНСКОГО РАЙОНА""","368422, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ХИНДАХ С, ИМАМА ШАМИЛЯ УЛ, ДОМ 60",505007992.0,8 (928) 978-97-06
31,"ГКОУ РД ""КАРАУЗЕКСКАЯ СОШ""","368410, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ЦУНТИНСКИЙ, СЕЛО КАРАОЗЕК",505008403.0,8 (964) 005-58-48
32,"ГКОУ РД ""Качалайская СОШ Цунтинского района""","368066, ДАГЕСТАН РЕСП, ЦУНТИНСКИЙ Р-Н, КАЧАЛАЙ С, д",505008347.0,8 (928) 588-28-29
33,"ГКОУ РД ""КГИ ""КУЛЬТУРА МИРА""","368830, ДАГЕСТАН РЕСП, КИЗЛЯР Г, ЦИОЛКОВСКОГО УЛ, 1, А",547001417.0,8 (87239) 2-36-87
34,"ГКОУ РД""КИКУНИКУТАНСКАЯ ООШ ГЕРГЕБИЛЬСКОГО РАЙОНА""","368241, ДАГЕСТАН РЕСП, ГЕРГЕБИЛЬСКИЙ Р-Н, КИКУНИ С, ЦЕНТРАЛЬНАЯ УЛ, ДОМ 7",508008641.0,8 (928) 525-71-45
35,"ГКОУ РД ""КИРОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""","368425, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ИБРАГИМОТАР НП, ГИНДИБСКАЯ УЛ, ДОМ 26",532140986.0,8 (963) 411-87-62
