,Наименование,Юридическое наименование,ИНН,Телефон,Юридический адрес
40,ГКОУКАРАШИНСКАЯСОШЛАКСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КАРАШИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ЛАКСКОГО РАЙОНА""",505054880,8 (928) 538-26-00,"368071, ДАГЕСТАН РЕСП, БАБАЮРТОВСКИЙ Р-Н, ТАМАЗАТЮБЕ С, д"
41,ГКОУШАВИНСКАЯСОШЦУМАДИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ШАВИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ЦУМАДИНСКОГО РАЙОНА""",506009449,8 (909) 483-97-19,"368067, ДАГЕСТАН РЕСП, ЦУМАДИНСКИЙ Р-Н, ШАВА С, д"
42,ГКОУКАМБУЛАТСКАЯСОШРУТУЛЬСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КАМБУЛАТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА РУТУЛЬСКОГО РАЙОНА""",505007858,8 (928) 573-18-55,"368704, ДАГЕСТАН РЕСП, РУТУЛЬСКИЙ Р-Н, КУСУР С, ВЕРХНЯЯ УЛ, ДОМ 1"
43,ГКОУНОВОМУСЛАХСКАЯСОШРУТУЛЬСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОМУСЛАХСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА РУТУЛЬСКОГО РАЙОНА""",505008107,,"368700, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН РУТУЛЬСКИЙ, СЕЛО МУСЛАХ, УЛИЦА ЯХЬИ ФЕРЗАЛИЕВА, ДОМ 1"
44,ГКОУНОВОЦИЛИТЛИНСКАЯСОШГУМБЕТОВСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОЦИЛИТЛИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУМБЕТОВСКОГО РАЙОНА""",505008072,8 (928) 572-85-99,"368939, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, ЦИЛИТЛЬ С, ЦЕНТРАЛЬНАЯ УЛ, ДОМ 3"
45,ГКОУНОВОМУГУРУХСКАЯСОШЧАРОДИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОМУГУРУХСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ЧАРОДИНСКОГО РАЙОНА""",522011212,8 (928) 599-44-64,"368545, ДАГЕСТАН РЕСП, КАРАБУДАХКЕНТСКИЙ Р-Н, МАНАС ПГТ, ШКОЛЬНАЯ УЛ, 1"
46,ГКОУГОНДОКОРИНСКАЯООШХУНЗАХСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ГОНДОКОРИНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА""",536008918,8 (963) 416-49-32,"368070, ДАГЕСТАН РЕСП, ХУНЗАХСКИЙ Р-Н, ГОНДОКОРИ С, Д"
47,ГКОУЦАДАХСКАЯСОШЧАРОДИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ЦАДАХСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ЧАРОДИНСКОГО РАЙОНА""",539011193,8 (963) 414-04-61,"368070, ДАГЕСТАН РЕСП, ЧАРОДИНСКИЙ Р-Н, ЦАДАХ С, д"
48,ГКОУТЕРЕЧНАЯООШТЛЯРАТИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ТЕРЕЧНАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""",532141147,8 (928) 981-06-21,"368424, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ЦИМГУДА, УЛИЦА ЦИМГУДИНСКАЯ, ДОМ 1"
49,ГКОУКАМИЛУХСКАЯСОШТЛЯРАТИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КАМИЛУХСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""",532002721,,"368425, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, КАМИЛУХ С, ДАЛГАТА ОМАРОВА УЛ, ДОМ 27"
50,ГКОУЦУМИЛУХСКАЯСОШТЛЯРАТИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ЦУМИЛУХСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""",532140760,8 (909) 483-41-05,"368424, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ЦУМИЛУХ, УЛИЦА ЦУМИЛЮХСКАЯ, ДОМ 285"
51,ГКОУКАРАУЗЕКСКАЯСОШ,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КАРАУЗЕКСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ЦУНТИНСКОГО РАЙОНА""",505008403,8 (964) 005-58-48,"368410, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ЦУНТИНСКИЙ, СЕЛО КАРАОЗЕК"
52,ГКОУКачалайскаяСОШЦунтинскогорайона,"Государственное казенное общеобразовательное учреждение Республики Дагестан ""Качалайская средняя общеобразовательная школа Цунтинского района""",505008347,8 (928) 588-28-29,"368066, ДАГЕСТАН РЕСП, ЦУНТИНСКИЙ Р-Н, КАЧАЛАЙ С, д"
53,ГКОУНОВОТАНУСИНСКАЯСОШХУНЗАХСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОТАНУСИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА""",534029743,8 (928) 972-40-09,"368025, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ХАСАВЮРТОВСКИЙ, СЕЛО ПЯТИЛЕТКА"
54,ГКОУСОГРАТЛИНСКАЯСОШГУНИБСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""СОГРАТЛИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУНИБСКОГО РАЙОНА""",510009025,8 (888) 888-88-88,"368354, ДАГЕСТАН РЕСП, ГУНИБСКИЙ, С СОГРАТЛЬ, Д"
55,ГКОУКРАСНОСЕЛЬСКАЯСОШХУНЗАХСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КРАСНОСЕЛЬСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА""",516008469,8 (928) 502-01-01,"368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, Г.ЦАДАСА УЛ, 4, А"
56,ГКОУАХТИНИНСКАЯСОШХУНЗАХСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""АХТИНИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА""",516008476,8 (928) 059-77-71,"368110, ДАГЕСТАН РЕСП, КИЗИЛЮРТОВСКИЙ , С АКНАДА, Д"
57,ГКОУСАМИЛАХСКАЯСОШХУНЗАХСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""САМИЛАХСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА""",516008490,8 (928) 579-08-29,"368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, Г.ЦАДАСА УЛ, ДОМ 14"
58,ГКОУАРАДИНСКАЯСОШХУНЗАХСКОГОРАЙОНАИМ.ГАЛБАЦОВАГ.К.,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""АРАДИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА ИМ. ГАЛБАЦОВА Г.К.""",516008525,8 (928) 571-29-20,"368083, ДАГЕСТАН РЕСП, КУМТОРКАЛИНСКИЙ Р-Н, АДЖИДАДА С, ШКОЛЬНАЯ УЛ, ДОМ 1"
59,ГКОУДАРАДАМУРАДИНСКИЙЛИЦЕЙГЕРГЕБИЛЬСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ДАРАДА-МУРАДИНСКИЙ ЛИЦЕЙ ГЕРГЕБИЛЬСКОГО РАЙОНА""",552004438,8 (928) 680-28-18,"368083, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КУМТОРКАЛИНСКИЙ, СЕЛО АДЖИДАДА"
60,ГКОУКАЗИЮРТОВСКАЯСРЕДНЯЯОБЩЕОБРАЗОВАТЕЛЬНАЯШКОЛААХВАХСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КАЗИЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АХВАХСКОГО РАЙОНА""",503005870,8 (929) 865-02-88,"368990, ДАГЕСТАН РЕСП, АХВАХСКИЙ Р-Н, КАРАТА С, БОКОХИНСКАЯ УЛ, ДОМ 35"
61,ГКОУПЕРВОМАЙСКАЯСОШГУМБЕТОВСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ПЕРВОМАЙСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУМБЕТОВСКОГО РАЙОНА""",505008210,8 (928) 961-94-49,"368930, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, ШАБДУХ С, ЦЕНТРАЛЬНАЯ УЛ, ДОМ 35"
62,ГКОУТЕЛЬМАНСКАЯСОШТЛЯРАТИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ТЕЛЬМАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""",505008266,8 (928) 831-92-00,"368424, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГАГАР, УЛИЦА ГАГАРСКАЯ, ДОМ 1"
63,ГКОУУЧТЮБИНСКАЯООШКАЗБЕКОВСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""УЧТЮБИНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА КАЗБЕКОВСКОГО РАЙОНА""",505007921,8 (928) 500-82-92,"368146, ДАГЕСТАН РЕСП, КАЗБЕКОВСКИЙ , С БУРТУНАЙ, Д"
64,ГКОУИНДИРАНСКАЯСОШАХВАХСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ИНДИРАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АХВАХСКОГО РАЙОНА""",505008153,8 (928) 961-62-04,"368995, ДАГЕСТАН РЕСП, АХВАХСКИЙ Р-Н, АНЧИХ С, АНЧИХСКАЯ УЛ, ДОМ 2"
65,ГКОУХАМЗАЮРТОВСКИЙЛИЦЕЙКАЗБЕКОВСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ХАМЗАЮРТОВСКИЙ ЛИЦЕЙ КАЗБЕКОВСКОГО РАЙОНА""",505007872,8 (888) 888-88-87,"368146, ДАГЕСТАН РЕСП, КАЗБЕКОВСКИЙ Р-Н, БУРТУНАЙ С, ул"
66,ГКОУДЖУРМУТСКАЯСОШТЛЯРАТИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ДЖУРМУТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""",532140993,8 (967) 939-00-20,"368425, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГЕРЕЛЬ"
67,ГКОУДАХАДАЕВСКАЯООШТЛЯРАТИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ДАХАДАЕВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""",532140961,8 (928) 563-11-06,"368425, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ЧОРОДА С, АБДУСАЛАМА МАГОМЕДОВА УЛ, ДОМ 13"
68,ГКОУОЖОНИКИДЗЕВСКАЯООШТЛЯРАТИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ОРДЖОНИКИДЗЕВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""",532141122,8 (988) 799-88-23,"368420, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ГВЕДЫШ С, Т. РАМАЗАНОВА УЛ, ДОМ 75"
69,ГКОУАКАРИНСКАЯООШ,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""АКАРИНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ХУНЗАХСКОГО РАЙОНА""",516008606,8 (903) 427-03-64,"368111, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КИЗИЛЮРТОВСКИЙ, СЕЛО ЧОНТАУЛ"
70,ГКОУСАНГАРСКАЯСОШЛАКСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""САНГАРСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ЛАКСКОГО РАЙОНА""",505007914,8 (928) 520-58-35,"368367, ДАГЕСТАН РЕСП, ЛАКСКИЙ Р-Н, КАМАХАЛ С, ул"
71,ГКОУНОВОХЕЛЕТУРИНСКАЯСОШ,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОХЕЛЕТУРИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА БОТЛИХСКОГО РАЙОНА""",505008410,8 (872) 267-84-50,"368989, ДАГЕСТАН РЕСП, БОТЛИХСКИЙ Р-Н, ХЕЛЕТУРИ С, д"
72,ГКОУНОВОБОРЧИНСКАЯСОШ,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОБОРЧИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА РУТУЛЬСКОГО РАЙОНА""",505008114,8 (967) 406-33-12,"368700, ДАГЕСТАН РЕСП, РУТУЛЬСКИЙ Р-Н, НОВЫЙ БОРЧ С, ДОМ ПЕРЕУЛОК ШКОЛЬНЫЙ 1"
73,ГКОУКАЛЬЯЛСКАЯСОШРУТУЛЬСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КАЛЬЯЛСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА РУТУЛЬСКОГО РАЙОНА""",505008121,,"368700, ДАГЕСТАН РЕСП, РУТУЛЬСКИЙ Р-Н, КАЛЬЯЛ С, ДОМ ВЕРХНЯЯ 1"
74,ГКОУКАРАТЮБИНСКАЯООШТЛЯРАТИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КАРАТЮБИНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""",505007992,8 (928) 978-97-06,"368422, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ХИНДАХ С, ИМАМА ШАМИЛЯ УЛ, ДОМ 60"
75,ГКОУНОВОТИНДИНСКАЯСОШЦУМАДИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОТИНДИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ЦУМАДИНСКОГО РАЙОНА""",505008450,8 (965) 493-77-55,"368067, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ЦУМАДИНСКИЙ, СЕЛО ШАВА"
76,ГКОУКИРОВСКАЯСРЕДНЯЯОБЩЕОБРАЗОВАТЕЛЬНАЯШКОЛАТЛЯРАТИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КИРОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ  ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""",532140986,8 (963) 411-87-62,"368425, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ИБРАГИМОТАР НП, ГИНДИБСКАЯ УЛ, ДОМ 26"
77,ГКОУСПОРТШКОЛАИНТЕРНАТ,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""СПОРТШКОЛА-ИНТЕРНАТ""",544002532,8 (988) 781-80-51,"368000, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД ХАСАВЮРТ, Улица ВОЛЧАНОВСКИЙ САД, 1"
78,ГКОУОБЩЕОБРАЗОВАТЕЛЬНАЯШКОЛАИНТЕРНАТС.БОТЛИХ,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ С. БОТЛИХ""",506064739,8 (988) 637-66-48,"368971, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО БОТЛИХ 1 (МИКРОРАЙОН), УЛИЦА ИМАМА ГАЗИМАГОМЕДА, ДОМ 89"
79,ГКОУУМЦпоГОиЧС,"Государственное казенное образовательное учреждение Республики Дагестан ""Учебно-методический центр по гражданской обороне и чрезвычайным ситуациям""",562075893,8 (8722) 62-95-94,"367020, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД МАХАЧКАЛА, МИКРОРАЙОН КАРАМАН-5"
80,ГКОУМАЗАДИНСКАЯСОШТЛЯРАТИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ  РЕСПУБЛИКИ ДАГЕСТАН ""МАЗАДИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""",532140873,8 (960) 409-64-71,"368422, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО МАЗАДА"
81,ГКОУРЦДОДИ,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""РЕСПУБЛИКАНСКИЙ ЦЕНТР ДИСТАНЦИОННОГО ОБУЧЕНИЯ ДЕТЕЙ-ИНВАЛИДОВ""",562076449,8 (8722) 67-40-88,"367015, ДАГЕСТАН РЕСП, МАХАЧКАЛА Г, АСКЕРХАНОВА УЛ, 3"
82,ГКОУНАНИБИКАНСКАЯСОШГУМБЕТОВСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НАНИБИКАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУМБЕТОВСКОГО РАЙОНА""",509105454,8 (929) 050-13-06,"368921, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, НАНИБИКА С, д"
83,ГКОУНОВОГАГАРСКАЯООШТЛЯРАТИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОГАГАРСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""",532141130,,"368424, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГАГАР, УЛИЦА ГАГАРСКАЯ, ДОМ 1"
84,ГКОУООШБОТЛИХСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ОСНОВНАЯ  ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА БОТЛИХСКОГО РАЙОНА""",506063647,8 (928) 200-84-24,"368984, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО ГАГАТЛИ, 0"
