,СОШ,Наличие
647,МБОУ СОШ с.Н.Джалган,
648,МБОУ СОШ с.В. Джалган,
649,МБОУ СОШ с.Мугарты,
650,МБОУ СОШ с.Рукель,
651,МБОУ СОШ с.Дюзляр,
652,МБОУ СОШ с.Хазар,
653,МБОУ СОШ с.Сабнова,
654,МБОУ СОШ с.М.Казмаляр,
655,МБОУ СОШ с.Зидьян,
656,МБОУ СОШ №1 с.Чинар,
657,МБОУ СОШ №2 с.Чинар,YES
658,МБОУ СОШ с.Геджух,
659,МБОУ СОШ с.Мичурино,
660,МБОУ СОШ с.Кала,
661,МБОУ СОШ с.Салик,
662,МБОУ СОШ с.Великент,
663,МБОУ СОШ с.Деличобан,
664,МБОУ СОШ с.Падар,
665,МБОУ СОШ с.Берикей,
666,МБОУ СОШ с.Татляр,
667,МБОУ СОШ с.Джемикент,
668,МБОУ СОШ с.Уллутеркеме,
669,МБОУ ООШ с.Бильгади ,
670,МБОУ ООШ п.Белиджи,
671,МБОУ ООШ с.Митаги ,
672,ООШ им.Г.Давыдовой ,
673,МБОУ ООШ с.Н.Рукель ,
674,МБОУ ООШ с.Великент ,
675,МБОУ НШ – сад с.Н.Джалган  ,
676,МБОУ НШ с.Сегеляр ,
677,МБОУ НШ с.Джемикент,
678,МКОУ Начальная школа села Юный Пахарь,
679,  Докузпаринский район,
680,МКОУ Аваданская СОШ,YES
681,МКОУ Демиркентская НОШ,
682,МКОУ Каладжухская СОШ,YES
683,МКОУ Каракюринская СОШ,YES
684,МКОУ Курушская СОШ,YES
685,МКОУ Микрахказмалярская СОШ,YES
686,МКОУ Микрахская СОШ,YES
687,МКОУ Мискинджинская СОШ,YES
688,МКОУ Новокаракюринская СОШ,YES
689,МКОУ Текипиркентская ООШ,YES
690,МКОУ Усухчайская СОШ,YES
691,  Казбековский район,
692,МКОУ Алмакская СОШ,
693,МКОУ Буртунайская СОШ,YES
694,МКОУ Гертминская СОШ ,YES
695,МКОУ Инчхинская СОШ,
696,МКОУ Калининаульская НОШ,
697,МКОУ Калининаульская СОШ,YES
698,МКОУ Ленинаульская СОШ №1,YES
699,МКОУ Ленинаульская сош №2,YES
700,МКОУ Хубарская СОШ,YES
701,МКОУ Дубкинская СОШ,YES
702,МКОУ Артлухская ООШ,
703,МКОУ Госталинская ООШ,
704,МКОУ Гимназия Культуры Мира,YES
705,МКОУ Дылымский МЛ им.И.Гаджиева,
706,МКОУ Дылымская гимназия,YES
707,  Кайтагский район,
708,МКОО Ахмедкентская СОШ,
709,МКОО Шилягинская СОШ,YES
710,МКОУ  Маджалисская СОШ №-1,YES
711,МКОУ  Маджалисская СОШ имени Темирханова Э.Д.,YES
712,МКОУ Адагинская НОШ,
713,МКОУ Баршамайская СОШ им.Качмасова А.Р.,YES
714,МКОУ Варситская СОШ,YES
715,МКОУ Газиянская ООШ,YES
716,МКОУ Гулдынская ООШ,YES
717,МКОУ Гуллинская СОШ,YES
718,МКОУ Дакнисинская НОШ,
719,МКОУ Джавгатская НОШ,
720,МКОУ Джавгатская СОШ,YES
721,МКОУ Джибахнинская СОШ,YES
722,МКОУ Джинабинская СОШ,YES
723,МКОУ Джирабачинская СОШ,YES
724,МКОУ Дурегинская НОШ,
725,МКОУ Карацанская СОШ,YES
726,МКОУ Карталайская НОШ,
727,МКОУ Киркинская НОШ ,
728,МКОУ Кулегинская НОШ,
729,МКОУ Кулиджинская ООШ,YES
730,МКОУ Лищинская ООШ,YES
731,МКОУ Маджалисская МСОШ-интернат,
732,МКОУ Маллакентская ООШ,YES
733,МКОУ Машатдинская ООШ,YES
734,МКОУ Мижиглинская ООШ,YES
735,МКОУ Ново-Баршинская ООШ ,YES
736,МКОУ Родниковая СОШ,YES
737,МКОУ Санчинская СОШ ,YES
738,МКОУ Сурхачинская СОШ,
739,МКОУ Хадагинская ООШ,YES
740,МКОУ Хунгиянская ООШ,YES
741,МКОУ Чумлинская СОШ,YES
742,МКОУ Шурагатская НОШ,
743,МКОУ Янгикентская СОШ,YES
744,  Карабудахкнтский район,
745,МБОУ  Агачаульская СОШ ,YES
746,МБОУ  Аданакская СОШ ,YES
747,МБОУ  Ачинская СОШ №1,YES
748,МБОУ  Ачисинская СОШ №2,YES
749,МБОУ  Гелинская СОШ им. Загирова Х.А,YES
750,МБОУ  Гимназия ,YES
751,МБОУ  Губденская СОШ ,
752,МБОУ  Гурбукинская СОШ №1,YES
753,МБОУ  Гурбукинская СОШ №2 им Багандалиева М.Б,YES
754,МБОУ  Джангинская СОШ ,
755,МБОУ  Доргелинская СОШ №2,YES
756,МБОУ  Зеленоморская СОШ ,YES
757,МБОУ  Какамахинская СОШ ,YES
758,МБОУ  Какашуринская СОШ №1,
759,МБОУ  Какашуринская СОШ №2,YES
760,МБОУ  Карабудахкентская СОШ №2 ,YES
761,МБОУ  Карабудахкентская СОШ №3 ,
762,МБОУ  КСОШ №1 ИМ. г.м. АБДУЛЛАЕВА ,YES
763,МБОУ  Ленинкентская СОШ ,YES
764,МБОУ  Манаскентская СОШ ,YES
765,МБОУ  Манасская СОШ ,YES
766,МБОУ  Параульская СОШ №1 им Бейбулатова Г.Т,
767,МБОУ  Параульская СОШ №2 им Насрутдинова ИН,YES
768,МБОУ  Параульская СОШ №3,
769,МБОУ  Сирагинская СОШ,YES
770,МБОУ  Уллубийаульская СОШ,YES
771,МБОУ Доргелинская СОШ №1,
772,МКОУ  Карабудахкентская СОШ №5,
773,  Каякентский район,
774,МБОУ Нововикринская СОШ,YES
775,МКОУ Башлыкентская СОШ,YES
776,МКОУ Гергинская СОШ,YES
777,МКОУ Дружбинская СОШ,YES
778,МКОУ Каранайаульская СОШ,YES
779,МКОУ Каякентская СОШ №1,YES
780,МКОУ Каякентская СОШ №2 им.Арсланалиева Х.Ш.,YES
781,МКОУ Новокаякентская СОШ,YES
782,МКОУ Первомайская гимназия им.С.Багамаева,YES
783,МКОУ Утамышская СОШ,YES
784,МКОУ Алходжакентская СОШ,YES
785,МКОУ Дейбукская ООШ,YES
786,МКОУ Джаванкентская СОШ,YES
787,МКОУ Капкайкентская СОШ им.Б.А.Магомедова,YES
788,МКОУ Каякентская СОШ №3,
789,МКОУ Новокаякентская начальная школа- детский сад №1,
790,МКОУ Первомайская СОШ №1,YES
791,МКОУ Сагасидейбукская СОШ,YES
792,МКОУ Усемикентская СОШ,YES
793,МКУ Инчхенская НОШ,
794,  Кизилюртовский район,
795,МКОУ Акнадинская СОШ,YES
796,МКОУ Гадаринская СОШ,YES
797,МКОУ Гельбахская СОШ,YES
798,МКОУ Зубутли-Миатлинская СОШ,YES
799,МКОУ Кироваульская СОШ,YES
800,МКОУ Кульзебская СОШ,YES
801,МКОУ Комсомольская СОШ,YES
802,МКОУ Мацеевская СОШ,YES
803,МКОУ Миатлинская СОШ,YES
804,МКОУ Нечаевская СОШ №1,YES
805,МКОУ Нечаевская СОШ №2,YES
806,МКОУ Нижничирюртовская СОШ,
807,МКОУ Новозубутлинская СОШ ,YES
808,МКОУ Новочиркейская СОШ №1,YES
809,МКОУНовочиркейская сош №2,YES
810,МКОУ Стальская гимназия,YES
811,МКОУ Стальская СОШ №2   ,YES
812,МКОУ Стальская СОШ №3,
813,МКОУ Султанянгиюртовская СОШ №1,YES
814,МКОУ Султанянгиюртовская СОШ №2,YES
815,МКОУЧонтаульская СОШ№1,
816,МКОУЧонтаульская СОШ№2,
817,МКОУШушановская СОШ,YES
818,  Кизлярский район,
819,МКОУ  ШаумяновскаяООШ,
820,МКОУ Аверьяновская СОШ,YES
821,МКОУ Александрийская СОШ,YES
822,МКОУ Большебредихинская СОШ,YES
823,МКОУ Большезадоевская СОШ,YES
824,МКОУ Бондареновская ООШ,YES
825,МКОУ Брянская СОШ,YES
826,МКОУ Впередовская СОШ,YES
827,МКОУ Вышеталовская СОШ,YES
828,МКОУ Ефимовская ООШ,YES
829,МКОУ Зареченская СОШ,YES
830,МКОУ Кардоновская СОШ,YES
831,МКОУ Карломарксовская СОШ,YES
832,МКОУ Косякинская СОШ,YES
833,МКОУ Крайновская СОШ,YES
834,МКОУ Красновосходская СОШ,YES
835,МКОУ Краснооктябрьская СОШ им.Р.Гамзатова,
836,МКОУ Малоарешевская СОШ,YES
837,МКОУ Малокозыревская ООШ,YES
838,МКОУ Михеевская СОШ,YES
839,МКОУ Некрасовская СОШ,YES
840,МКОУ Новобирюзякская СОШ,YES
841,МКОУ Нововладимировская СОШ,YES
842,МКОУ Новогладовская ООШ,YES
843,МКОУ Новокрестьяновская СОШ,YES
844,МКОУ Новосеребряковская СОШ,YES
845,МКОУ Огузерская СОШ,YES
846,МКОУ Первомайская СОШ,YES
847,МКОУ Победовская СОШ,YES
848,МКОУ Рыбалкинская СОШ,YES
849,МКОУ Сангишинская ООШ,YES
850,МКОУ Сар-Сарская СОШ,YES
851,МКОУ Совхозная СОШ,YES
852,МКОУ Старосеребряковская СОШ,YES
853,МКОУ Степновская ООШ,YES
854,МКОУ Тушиловская ООШ,YES
855,МКОУ Хуцеевская СОШ,YES
856,МКОУ Цветковская гинназия,
857,МКОУ Черняевская СОШ,YES
858,МКОУ Яснополянская СОШ,YES
859,МКОУ Новомонастырская СОШ,YES
860,МКОУ Совхозная СОШ №6,YES
861,МКОУБольшеарешевская СОШ,YES
862,  Кулинский район,
863,МКОУ 1-Цовкринская ООШ,YES
864,МКОУ 2-Цовкринская СОШ им. Магарамова В.М.,YES
865,МКОУ Вачинская СОШ,YES
866,МКОУ Вихлинская СОШ,YES
867,МКОУ Канинская ООШ им.Гаджимурадова М.Г.,YES
868,МКОУ Каялинская СОШ-сад,YES
869,МКОУ Кулинская СОШ №1 им Х.Р.Мурачуева,YES
870,МКОУ Сумбатлинская ООШ,YES
871,МКОУ Хайминская НОШ,YES
872,МКОУ Хайхинская ООШ-сад,
873,МКОУ Хосрехская СОШ,YES
874,МКОУ Цущарская ООШ,YES
875,МКОУ Цыйшинская СОШ,YES
876,МКОУКулинская СОШ №2 им.Даххаева Г.Р.,YES
877,  Кумторкалинский район,
878,МКОУКоркмаскалинскаия СОШ 1,YES
879,МКОУКоркмаскалинскаия СОШ 2,YES
880,МБОУТюбинская СОШ,YES
881,МКОУУчкентская СОШ,YES
882,МКОУТемиргоевская СОШ,YES
883,МКОУАлмалинская СОШ,YES
884,МКОУАджидадинскаяСОШ,
885,МКОУШ.Янгиюртовская СОШ,
886,МКОУДахадаевская ООШ,YES
887,  Курахский район,
888,МКОО Икринская СОСШ-интернат для одаренных детей,
889,МКОУ Ашарская СОШ,YES
890,МКОУ Гельхенская СОШ- детский сад,YES
891,МКОУ Икринская СОШ им. Э.Б. Салихова,YES
892,МКОУ Куквазская НОШ,YES
893,МКОУ Кучхюрская СОШ-детский сад,YES
894,МКОУ Моллакентская СОШ,YES
895,МКОУ Усугская СОШ,YES
896,МКОУ Хвереджская СОШ-детский сад,YES
897,МКОУ Хпюкская СОШ,YES
898,МКОУ Хюрехюрская СОШ,YES
899,МКОУ Шимихюрская СОШ-детский сад,YES
900,МКОУ Аладашская СОШ-детский сад,YES
901,МКОУ Араблярская СОШ,YES
902,МКОУ Ашакентская НОШ,
903,МКОУ Кабирская СОШ имени Омарова М.С.,YES
904,МКОУ Квардальская ООШ,
905,МКОУ Кумукская СОШ-детский сад,YES
906,МКОУ Курахская СОШ-детский сад № 1,
907,МКОУ Кутульская ООШ,YES
908,МКОУ Ругунская НОШ,
909,МКОУ Укузская НОШ,
910,МКОУ Урсунская НОШ,
911,МКОУ Хпеджская СОШ,YES
912,МКОУ Штульская НОШ,
913,МКОУ Штульская ООШ,YES
914,МКОУ Курахская СОШ №2,YES
915,  Лакский район,
916,МБОУ Кумухская COШ,
917,МКОУ Инишинская НОШ,
918,МКОУ Карашинская ООШ,
919,МКОУ Каринская ООШ,YES
920,МКОУ Кубинская СОШ,YES
921,МКОУ Куминская ООШ,YES
922,МКОУ Кундынская СОШ,YES
923,МКОУ Курклинская СОШ,YES
924,МКОУ Мукарская НОШ,
925,МКОУ Унчукатлинская СОШ,YES
926,МКОУ Уринская ООШ,YES
927,МКОУ Хулисминская ООШ,YES
928,МКОУ Хунинская ООШ,YES
929,МКОУ Хуринская ООШ,YES
930,МКОУ Хурхинская СОШ,YES
931,МКОУ Чуртахская ООШ,YES
932,МКОУ Шовкринская ООШ,YES
933,МКОУ Щаринская СОШ,YES
934,  Левашинский район,
935,МКОУ Айнакаб НОШ,
936,МКОУ Арада-Чуглинская СОШ,
937,МКОУ Аршинская СОШ,YES
938,МКОУ Ахкентская СОШ,YES
939,МКОУ Аялакаб СОШ,
940,МКОУ Буртанинская НОШ,
941,МКОУ Верхне-Лабкомахинская СОШ,YES
942,МКОУ Верхне-Убекинская ООШ,YES
943,МКОУ Джангамахинская СОШ,
944,МКОУ Дитуншимахинская ООШ,YES
945,МКОУ Зуримахинская ООШ,YES
946,МКОУ Какамахинская СОШ,YES
947,МКОУ Карекаданинская СОШ,YES
948,МКОУ Карлабкинская СОШ,YES
949,МКОУ Кулецминская СОШ,YES
950,МКОУ Кулибухна ООШ,
951,МКОУ Куппинская СОШ,YES
952,МКОУ Кутишинская СОШ,YES
953,МКОУ Левашинская гимназия,YES
954,МКОУ Левашинская СОШ № 2,YES
955,МКОУ Левашинская СОШ,YES
956,МКОУ Мекегинский лицей им.Г.М.Гамидова,YES
957,МКОУ Мусультемахинская СОШ,YES
958,МКОУ Наскентская СОШ,YES
959,МКОУ Нижне-Аршинская НОШ,
960,МКОУ Нижне-Лабкинская НОШ,
961,МКОУ Нижне-убекинская ООШ,YES
962,МКОУ Нижне-Чуглинская СОШ,YES
963,МКОУ Охлинская СОШ,YES
964,МКОУ Сулейбакентская СОШ,
965,МКОУ Тагзиркенстская ООШ,
966,МКОУ Ташкапурская СОШ,YES
967,МКОУ Тилагинская ООШ,YES
968,МКОУ Уллуаинская СОШ,YES
969,МКОУ Урминская ООШ,YES
970,МКОУ Урминская СОШ,YES
971,МКОУ Хаджалмахинская ООШ,YES
972,МКОУ Хаджалмахинская СОШ,YES
973,МКОУ Хахитинская СОШ,YES
974,МКОУ Цудахарская СОШ,YES
975,МКОУ Цухтамахинская СОШ,YES
976,МКОУ Чунинская СОШ,YES
977,МКОУ Эбдалая СОШ,
978,  Магарамкентский район,
979,МКОУ Азадоглынская СОШ,YES
980,МКОУ Билбильская СОШ им. М.Абдуллаева,YES
981,МКОУ Бут-Казмалярская СОШ,YES
982,МКОУ Гапцахская СОШ им. Т.Н.Нагиева,YES
983,МКОУ Гарахская ООШ,YES
984,МКОУ Гильярская СОШ,YES
985,МКОУ Джепельская ООШ,YES
986,МКОУ Капирказмалярская СОШ,YES
987,МКОУ Картасказмалярская СОШ,YES
988,МКОУ Киркинская СОШ им. Аликберова Г.А.,YES
989,МКОУ Кличханская ООШ,YES
990,МКОУ Куйсунская СОШ,YES
991,МКОУ Кчунказмалярская СОШ,YES
992,МКОУ Магарамкентская СОШ №1 им. М.Гаджиева,YES
993,МКОУ Магарамкентская СОШ №2,YES
994,МКОУ Макаказмалярская НОШ,
995,МКОУ Мугерганская СОШ им. А.Р.Рамалданова,YES
996,МКОУ Новоаульская СОШ им. Исмаилова Т.,YES
997,МКОУ Оружбинская СОШ,YES
998,МКОУ Приморская ООШ,YES
999,МКОУ Самурская СОШ,YES
1000,МКОУ Советская СОШ,YES
1001,МКОУ Тагиркент-казмалярская СОШ,YES
1002,МКОУ Тагиркентская ООШ,YES
1003,МКОУ Филялинская СОШ,YES
1004,МКОУ Ходжаказмалярская СОШ им. М.К.Казиева,YES
1005,МКОУ Хорельская СОШ,YES
1006,МКОУ Хутунказмалярская ООШ,
1007,МКОУ Целегюнская СОШ,YES
1008,МКОУ Чахчах-Казмалярская СОШ им. М.М.Мерзаметова,YES
1009,МКОУ Чахчахская НОШ,
1010,МКОУ Ярагказмалярская СОШ им. М.Ярагского,YES
1011,МКОУ Ярукваларская ООШ,YES
1012,  Новолакский район,
1013,МКОУ АХАРСКАЯ СОШ,YES
1014,МКОУ БАНАЙЮРТОВСКАЯ СОШ,YES
1015,МКОУ Барчхойотарская СОШ,
1016,МКОУ ГАМИЯХСКАЯ СОШ №1,YES
1017,МКОУ ГАМИЯХСКАЯ СОШ №2,YES
1018,МКОУ ГАМИЯХСКАЯ СОШ,YES
1019,МКОУ ДУЧИНСКАЯ СОШ №2,YES
1020,МКОУ НОВОКУЛИНСКАЯ СОШ №1,YES
1021,МКОУ НОВОКУЛИНСКАЯ СОШ №2,YES
1022,МКОУ НОВОЛАКСКАЯ ГИМНАЗИЯ имени Исаева Мутея,YES
1023,МКОУ НОВОЛАКСКАЯ СОШ №1,
1024,МКОУ НОВОМЕХЕЛЬТИНСКАЯ СОШ,YES
1025,МКОУ НОВОЧУРТАХСКАЯ СОШ №1,YES
1026,МКОУ НОВОЧУРТАХСКАЯ СОШ №2,YES
1027,МКОУ НОВОЧУРТАХСКАЯ СОШ НОВОЛАКСКОГО РАЙОНА РД ИМЕНИ Г.Г. АДАМОВА,YES
1028,МКОУ ТУХЧАРСКАЯ ООШ,YES
1029,МКОУ ТУХЧАРСКАЯ СОШ №1,YES
1030,МКОУ ТУХЧАРСКАЯ СОШ,YES
1031,МКОУ ЧАПАЕВСКАЯ СОШ №1,YES
1032,МКОУ ЧАПАЕВСКАЯ СОШ №2,YES
1033,МКОУ ЧАРАВАЛИНСКАЯ СОШ,YES
1034,МКОУ ШУШИНСКАЯ СОШ,YES
1035,МКОУ ЯМАНСУЙСКАЯ СОШ,YES
1036,  Ногайский район,
1037,МКОУ Карагасская СОШ им К.Ш.Кидирниязова,YES
1038,МКОУ Кунбатарская СОШ им.М.К.Курманалиева,YES
1039,МКОУ Ленинаульская СОШ,YES
1040,МКОУ Нариманская СОШ им.Асанова А.Б.,YES
1041,МКОУ Терекли-Мектебская СОШ им А.Ш.Джанибекова,YES
1042,МКОУ Уй-Салганская ООШ,YES
1043,МКОУ Червленно-Бурунская СОШ им.З.Акмурзаева,YES
1044,МКОУ Шумлеликская СОШ,YES
1045,МКОУБатыр-Мурзаевская СОШ,YES
1046,МКОУБоранчинская СОШ им.К.Б.Оразбаева,
1047,МКОУКалининаульская средняя общеобразовательная школа им.С.И.Капаева,
1048,МКОУКарасувская СОШ,YES
1049,МКОУКумлинская СОШ им.Д.М.Шихмурзаева,
1050,МКОУОртатюбинская СОШ,YES
1051,МКОУТерекли-Мектебская СОШ им.Кадрии,
1052,МКОУЭдигейская СОШ,YES
1053,  Рутульский район,
1054,МКОУ Амсарская СОШ,
1055,МКОУ Атдальская НОШ,
1056,МКОУ Верхне-Катрухская СОШ,
1057,МКОУ Гельмецская СОШ,
1058,МКОУ Дженыхская СОШ им. М. Р. Гусейнова,
1059,МКОУ Джилихурская СОШ,
1060,МКОУ Ихрекская ООШ,
1061,МКОУ Ихрекская СОШ,
1062,МКОУ Калинская СОШ,YES
1063,МКОУ Кининская СОШ,
1064,МКОУ Кичинская СОШ,
1065,МКОУ Курдульская ООШ,
1066,МКОУ Кусурская НОШ,
1067,МКОУ Куфинская СОШ,
1068,МКОУ Лучекская СОШ,
1069,МКОУ Микикская СОШ,
1070,МКОУ Мишлешская СОШ,
1071,МКОУ Муслахская СОШ,
1072,МКОУ Мухахская НОШ,
1073,МКОУ Мюхрекская НОШ,
1074,МКОУ Нижне-Катрухская СОШ,
1075,МКОУ Рутульская СОШ №1 им. И.Гусейнова,
1076,МКОУ Рутульская СОШ №2 им.А.М.Мирзоева,YES
1077,МКОУ Согютская НОШ,
1078,МКОУ Хлютская СОШ,
1079,МКОУ Цахурская СОШ,
1080,МКОУ Цудикская СОШ,
1081,МКОУ Шиназкская НОШ,
1082,МКОУ Шиназская СОШ,
1083,МКОУ Аракульская СОШ,
1084,МКОУ Аранская СОШ,
1085,  Сергокалинский район,
1086,МКОУ  Маммаульская СОШ,YES
1087,МКОУ Аймаумахинская СОШ,YES
1088,МКОУ Аялизимахинская СОШ,YES
1089,МКОУ Балтамахинская СОШ,YES
1090,МКОУ Бурдекинская СОШ,YES
1091,МКОУ Бурхимахинская СОШ,YES
1092,МКОУ Дегвинская СОШ,YES
1093,МКОУ Кадиркентская СОШ,YES
1094,МКОУ Канасирагинская СОШ,YES
1095,МКОУ Кичигамринская СОШ,YES
1096,МКОУ Краснопартизанская СОШ,YES
1097,МКОУ Миглакасимахинская СОШ,YES
1098,МКОУ Мургукская СОШ,YES
1099,МКОУ Мюрегинская СОШ,YES
1100,МКОУ Нижнемахаргинская СОШ,YES
1101,МКОУ Нижнемулебкинская СОШ,YES
1102,МКОУ Новомугринская СОШ,YES
1103,МКОУ Сергокалинская СОШ №1,YES
1104,МКОУ Сергокалинская СОШ №2,YES
1105,МКОУ Цурмахинская НОШ,
1106,МКОУ Ванашимахинская СОШ ,YES
1107,МКОУ Урахинская СОШ ,YES
1108,  Сулейман-Стальский район,
1109,МКОУ Алкадарская СОШ,YES
1110,МКОУ АСАЛИКЕНТСКАЯ ООШ,YES
1111,МКОУ Ашагакартасская ООШ,YES
1112,МКОУ Ашагасталказмалярская СОШ,YES
1113,МКОУ Ашагастальская СОШ,YES
1114,МКОУ БУТКЕНТСКАЯ НОШ,
1115,МКОУ Герейхановская СОШ №1,YES
1116,МКОУ Герейхановская СОШ №2 ,YES
1117,МКОУ Даркушказмалярская СОШ,YES
1118,МКОУ Зизикская СОШ,YES
1119,МКОУ ЗУХРАБКЕНТСКАЯ ООШ,YES
1120,МКОУ Испикская ООШ,YES
1121,МКОУ Испикская СОШ,YES
1122,МКОУ Ичинская ООШ,YES
1123,МКОУ Касумкентская СОШ №1 ,
1124,МКОУ Касумкентская СОШ №2,YES
1125,МКОУ КАХЦУГСКАЯ СОШ,YES
1126,МКОУ КАЧАЛКЕНТСКАЯ ООШ,YES
1127,МКОУ Корчагская СОШ,
1128,МКОУ Куркентская СОШ №1,YES
1129,МКОУ КУРКЕНТСКАЯ СОШ №2,YES
1130,МКОУ Новомакинская СОШ,YES
1131,МКОУ НОВОПОСЕЛКОВАЯ СОШ,YES
1132,МКОУ Нютюгская СОШ,YES
1133,МКОУ Ортастальская СОШ,YES
1134,МКОУ Пиперкентская НОШ,
1135,МКОУ Птикентская ООШ,YES
1136,МКОУ САИДКЕНТСКАЯ СОШ,YES
1137,МКОУ САЙТАРКЕНТСКАЯ ООШ ,YES
1138,МКОУ Сардаркентская СОШ,YES
1139,МКОУ Татарханская НОШ,
1140,МКОУ УЛЛУГАТАГСКАЯ СОШ,YES
1141,МКОУ ХПЮКСКАЯ НОШ,
1142,МКОУ Хтунская НОШ,
1143,МКОУ ЦМУРСКАЯ СОШ,YES
1144,МКОУ Чухверкентская СОШ,YES
1145,МКОУ Шихикентская СОШ,YES
1146,МКОУ Экендильская НОШ,
1147,МКОУ Эминхюрская СОШ,YES
1148,МКОУ Юхарикартасская ООШ,YES
1149,МКОУ Юхаристальская сош,YES
1150,  Табасаранский район,
1151,МКОУ Аккинская СОШ,YES
1152,МКОУ Аракская СОШ им.Гюльмагомедова Г.Г.,YES
1153,МКОУ Аркитская СОШ им. Абдуллаева Н.И.,YES
1154,МКОУ Афнинская НОШ,
1155,МКОУ Бурганкетская СОШ,
1156,МКОУ Вечрикская НОШ,
1157,МКОУ Гасикская СОШ,YES
1158,МКОУ Гелинбатанская СОШ,YES
1159,МКОУ Гимназия Табасаранского района,YES
1160,МКОУ Гисикская ООШ,YES
1161,МКОУ Гувлигская СОШ,YES
1162,МКОУ Гуминская СОШ,YES
1163,МКОУ Гурикская СОШ,YES
1164,МКОУ Гурхунская СОШ,YES
1165,МКОУ Гюхрагская СОШ,YES
1166,МКОУ Дагнинская ООШ,YES
1167,МКОУ Дарвагская СОШ №1,YES
1168,МКОУ Дарвагская СОШ №2,YES
1169,МКОУ Джулинская СОШ,YES
1170,МКОУ Джульджагская СОШ,YES
1171,МКОУ Дюбекская СОШ им.Ю.Базутаева,
1172,МКОУ Ерсинская СОШ,YES
1173,МКОУ Зильская СОШ,YES
1174,МКОУ Кужникская СОШ,YES
1175,МКОУ Курекская СОШ,YES
1176,МКОУ Куркакская СОШ,YES
1177,МКОУ Кюрягская СОШ,YES
1178,МКОУ Лидженская ООШ,
1179,МКОУ Марагинская СОШ №1,YES
1180,МКОУ Марагинская СОШ №2,YES
1181,МКОУ Ничраская СОШ,YES
1182,МКОУ Новолидженская СОШ,YES
1183,МКОУ Пилигская СОШ,YES
1184,МКОУ Рушульская СОШ,YES
1185,МКОУ Сертильская СОШ,YES
1186,МКОУ Сиканская НОШ,
1187,МКОУ Сиртичская СОШ,YES
1188,МКОУ Татильская СОШ,YES
1189,МКОУ Тинитская СОШ,YES
1190,МКОУ Турагская СОШ,YES
1191,МКОУ Туруфская СОШ,YES
1192,МКОУ Улузская ООШ,YES
1193,МКОУ Ушнигская СОШ,YES
1194,МКОУ Фиргильская СОШ,YES
1195,МКОУ Халагская СОШ,YES
1196,МКОУ Ханагская СОШ,YES
1197,МКОУ Ханакская ООШ,YES
1198,МКОУ Хапильская СОШ им. М.Т. Рахметова,YES
1199,МКОУ Хархнинская НОШ,
1200,МКОУ Хили-Пенджикская СОШ,YES
1201,МКОУ Хурикская СОШ им Р.Гасанова,
1202,МКОУ Хурякская ООШ,YES
1203,МКОУ Хустильская СОШ,YES
1204,МКОУ Хучнинская СОШ №2,YES
1205,МКОУ Хучнинский многопрофильный лицей №1,YES
1206,МКОУ Цанакская СОШ,YES
1207,МКОУ Цуртильская СОШ,YES
1208,МКОУ Цухтыгская СОШ  им.Т.Г. Юнусова,YES
1209,МКОУ Чулатская СОШ,YES
1210,МКОУ Шиленская СОШ,YES
1211,МКОУ Ягдыгская СОШ №1,YES
1212,МКОУ Ягдыгская СОШ №2,YES
1213,  Тарумовский район,
1214,МКОУ Тарумовская СОШ,YES
1215,МКОУ Таловская СОШ,YES
1216,МКОУ Н-Романовская СОШ,
1217,МКОУ Калиновская СОШ,YES
1218,МКОУ Н-Дмитриевская СОШ,
1219,МКОУ Кочубейская СОШ №1,
1220,МКОУ Привольненская СОШ,YES
1221,МКОУ Юрковская СОШ,YES
1222,МКОУ А-Невская СОШ,YES
1223,МКОУ Н-Георгиевская СОШ,
1224,МКОУ Карабаглинская СОШ,YES
1225,МКОУ Раздольевская СОШ,
1226,МКОУ Рассветовская СОШ,YES
1227,МКОУ Кочубейская СОШ №2,YES
1228,МКОУ Коктюбейская ООШ,YES
1229,МКОУ Кузнецовская ООШ,
1230,МКОУ Иммунная ООШ,
1231,МКОУ  М-Горьковская НОШ,
1232,  Тляратинский район,
1233,МКОУ  Харадинская НОШ,
1234,МКОУ Албанская НОШ,
1235,МКОУ Барнабская ООШ,YES
1236,МКОУ Бежудинская НОШ,
1237,МКОУ Бетельдинская СОШ,
1238,МКОУ ВТохотинская НОШ,
1239,МКОУ Гараколобская ООШ,
1240,МКОУ Гведышинская СОШ,YES
1241,МКОУ Генеколобская СОШ,YES
1242,МКОУ Герельская НОШ,
1243,МКОУ Гозодинская НОШ,
1244,МКОУ Жажадинская НОШ,
1245,МКОУ Камилюхская СОШ,
1246,МКОУ Кардибская ООШ,
1247,МКОУ Кардибская СОШ,
1248,МКОУ Колобская СОШ,
1249,МКОУ Кособская СОШ,
1250,МКОУ Куданская НОШ,
1251,МКОУ Кутлабская СОШ,YES
1252,МКОУ Мазадинская СОШ,YES
1253,МКОУ Начадинская СОШ,YES
1254,МКОУ Никлидинская НОШ,
1255,МКОУ Нитиицухская НОШ,
1256,МКОУ Нурухская НОШ,
1257,МКОУ Роснобская ООШ,
1258,МКОУ Салдинская НОШ,
1259,МКОУ Саниортинская ООШ,
1260,МКОУ Сикарская СОШ,
1261,МКОУ Талцухская СОШ,
1262,МКОУ Тамудинская НОШ,
1263,МКОУ Тинчудинская НОШ,
