,СОШ,Наличие
128,Айникабмахинская НОШ,
129,МКОУ Акушинская СОШ №1,
130,МКОУ Акушинская СОШ №2,YES
131,МКОУ Акушинская СОШ №3,
132,МКОУ Алиханмахинская СОШ,
133,МКОУ Аметеркмахинская СОШ,
134,МКОУ Балхарская СОШ,
135,МКОУ Бургимакмахинская СОШ,YES
136,МКОУ Бутринская СОШ,
137,МКОУ В/Мулебкинская СОШ,
138,МКОУ Гапшиминская СОШ,
139,МКОУ Гебинская СОШ,
140,МКОУ Герхмахинская СОШ,
141,МКОУ Гинтинская СОШ,YES
142,МКОУ Гуладтымахинская СОШ,
143,МКОУ Дубримахинская СОШ,YES
144,МКОУ Зильмукмахинская ООШ,YES
145,МКОУ Кавкамахинская СОШ,
146,МКОУ Камхамахинская СОШ,
147,МКОУ Каршинская СОШ,
148,МКОУ Каршлинская ООШ,
149,МКОУ Кассагумахинская СОШ,
150,МКОУ Кулинская ООШ,
151,МКОУ Куркебимахинская ООШ,
152,МКОУ Куркинская ООШ,YES
153,МКОУ Курьимахинская СОШ,YES
154,МКОУ Мугинская гимназия,YES
155,МКОУ Мугинский многопрофильный лицей им. Абдуллаева С.М. ,YES
156,МКОУ Нахкинская ООШ,
157,МКОУ Семгамахинская СОШ,
158,МКОУ Тантынская СОШ,
159,МКОУ Тебекмахинская СОШ,
160,МКОУ Тузламахинская СОШ,YES
161,МКОУ Узнимахинская СОШ,
162,МКОУ Уллучаринская ООШ,
163,МКОУ Урганинская СОШ,
164,МКОУ Ургубамахинская СОШ,
165,МКОУ Урхучимахинская СОШ,
166,МКОУ Усишинская СОШ №2,YES
167,МКОУ Усишинская СОШ №3,
168,МКОУ Усишинский многопрофильный лицей,YES
169,МКОУ Цугнинская СОШ,
170,МКОУ Цуликанинская ООШ,YES
171,МКОУ Цунимахинская ООШ,
172,МКОУ Чинимахинская ООШ,YES
173,МКОУ Шинкбалакадинская ООШ,YES
174,МКОУ Шуктынская СОШ,
175,МОУ Буккамахинская НОШ,
176,МОУ Гиягирамахинская НОШ,
177,МОУ Гумрамахинская НОШ,
178,МОУ Кертукмахинская НОШ,
179,МОУ Кулиямахинская НОШ,
180,МОУ Н.Кавкамахинская НОШ,
181,МОУ Нацинская НОШ,
182,МОУ Уржагимахинская НОШ,
183,МОУ Уцулимахинская НОШ,
184,МОУ Цундимахинская НОШ,
185,МОУ Чиамахинская НОШ,
186,МОУ Чурчумамахинская НОШ,
187,  Ахвахский район,
188,МБОУ АНЧИКСКАЯ СОШ,YES
189,МБОУ ВЕРХНЕИНХЕЛИНСКАЯ ООШ,YES
190,МБОУ ИЗАНИНСКАЯ СОШ,YES
191,МБОУ ИНГЕРДАХСКАЯ СОШ,YES
192,МБОУ КАРАТИНСКАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ГИМНАЗИЯ,YES
193,МБОУ КАРАТИНСКАЯ СОШ,YES
194,МБОУ КУДИЯБРОСИНСКАЯ СОШ,YES
195,МБОУ ЛОЛОГОНИТЛИНСКАЯ СОШ,YES
196,МБОУ МЕСТЕРУХСКАЯ СОШ,YES
197,МБОУ ТАД-МАГИТЛИНСКАЯ СОШ,YES
198,МБОУ ТЛИБИШИНСКАЯ СОШ,YES
199,МБОУ ТУКИТИНСКАЯ СОШ,YES
200,МБОУ ЦОЛОДИНСКАЯ СОШ,YES
201,МКОУ АРЧИНСКАЯ НОШ,
202,МКОУ МАШТАДИНСКАЯ НОШ,
203,МКОУ РАЦИТЛИНСКАЯ НОШ,
204,МКОУ ТЛИСИНСКАЯ НОШ,
205,  Ахтынский район,
206,МКОУ Ахтынская ООШ,YES
207,МКОУ Ахтынская СОШ №1,YES
208,МКОУ Ахтынская СОШ №2 им В.Эмирова,YES
209,МКОУ Гогазская СОШ,YES
210,МКОУ Джабинская СОШ им. М. Д. Курбанова,YES
211,МКОУ Зрыхская СОШ,YES
212,МКОУ Какинская СОШ,YES
213,МКОУ Калукская СОШ,YES
214,МКОУ Курукальская СОШ,YES
215,МКОУ Луткунская СОШ,YES
216,МКОУ Ново-Усурская СОШ,YES
217,МКОУ Смугульская СОШ,YES
218,МКОУ Фийская СОШ,YES
219,МКОУ Хрюгская СОШ,YES
220,МКОУ Хновская СОШ Ахтынского района,YES
221,МКОУ Гдымская ООШ,YES
222,МКОУ НОШ при в/ч 2350,
223,МКОУ Хкемская ООШ,YES
224,МКОУЯлакская ООШ им. И.М.Исабекова,
225,  Бабаюртовский район,
226,МКОУ Адильянгиюртовская СОШ,YES
227,МКОУ Бабаюртовская СОШ № 2 им. Б.Т. Сатыбалова,YES
228,МКОУ Бабаюртовская СОШ №1,
229,МКОУ Бабаюртовская СОШ №3 им.З.А.Мартункаева,YES
230,МКОУ Геметюбинская СОШ,YES
231,МКОУ Герменчикская СОШ,YES
232,МКОУ Львовская СОШ,YES
233,МКОУ Люксембургский агротехнологический лицей,YES
234,МКОУ Мужукайский агротехнологический лицей,YES
235,МКОУ Новокаринская СОШ,YES
236,МКОУ Новокосинская СОШ им.Х.Исмаилова,YES
237,МКОУ Советская СОШ,YES
238,МКОУ Тамазатюбинская СОШ,YES
239,МКОУ Туршунайская СОШ,YES
240,МКОУ Тюпкутанская СОШ,YES
241,МКОУ Уцмиюртовская СОШ,YES
242,МКОУ Хамаматюртовская СОШ №1 им. Бекишева Р.Я.,YES
243,МКОУ Хамаматюртовская СОШ№2 им.З.Х. Хизриева,
244,МКОУ Прогимназия Орленок,
245,МКОУ Хасанайская СОШ,YES
246,МКОУТатаюртовская СОШ,
247,  Бежтинский участок,
248,МКОУ Балакуринская СОШ,YES
249,МКОУ Бежтинская СОШ,YES
250,МКОУ Гарбутлинская СОШ,
251,МКОУ Гунзибская ООШ,
252,МКОУ Нахада СОШ,
253,МКОУ Тлядальская СОШ,
254,МКОУ Хашархотинская СОШ,
255,  Ботлихский район,
256,МКОУ Алакский лицей,YES
257,МКОУ Зибирхалинская НОШ,
258,МКОУ Шодродинская СОШ,YES
259,МКОУ Андийская СОШ №1,YES
260,МКОУ Андийская СОШ №2,YES
261,МКОУ Ансалтинская СОШ,YES
262,МКОУ Ашалинская ООШ,YES
263,МКОУ Белединская НОШ,
264,МКОУ Ботлихская СОШ №1,YES
265,МКОУ Ботлихская СОШ №2,YES
266,МКОУ Ботлихская СОШ №3,
267,МКОУ Верхне-Алакская НОШ,
268,МКОУ Гагатлинская СОШ,YES
269,МКОУ Годоберинская СОШ,YES
270,МКОУ Гунховская НОШ,
271,МКОУ Зиловская СОШ,YES
272,МКОУ Кванхидатлинская ООШ,YES
273,МКОУ Кижанинская ООШ,YES
274,МКОУ Миарсинская СОШ,YES
275,МКОУ Мунинская СОШ,YES
276,МКОУ Нижне-Алакская НОШ,
277,МКОУ Нижне-Инхеловская ООШ ,YES
278,МКОУ Ортаколинская СОШ,YES
279,МКОУ Рахатинская СОШ,YES
280,МКОУ Рикванинская СОШ,YES
281,МКОУ Тандовская СОШ,YES
282,МКОУ Тасутинская ООШ,YES
283,МКОУ Тлохская СОШ,YES
284,МКОУ Хелетуринская СОШ ,YES
285,МКОУ Чанковская СОШ,YES
286,МКОУ Шивортинская НОШ,
287,  Буйнакский район,
288,МБОУ Атланаульская гимназия,YES
289,МБОУ Бугленская СОШ,
290,МБОУ В-Дженгутайская СОШ,
291,МБОУ В-Казанищенская СОШ № 1,YES
292,МБОУ Кадарская СОШ,YES
293,МБОУ Карамахинская СОШ,YES
294,МБОУ Кафыр-Кумухская СОШ,
295,МБОУ Н-Дженгутаевская СОШ,
296,МБОУ Нижнеказанищенская СОШ № 2,YES
297,МБОУ Нижнеказанищенская СОШ № 3,YES
298,МБОУ Нижнеказанищенский многопрофильный лицей,YES
