,Наименование,Адрес,ИНН,Контакты
70,ГКОУТЕЛЬМАНСКАЯСОШТЛЯРАТИНСКОГОРАЙОНА,,,
71,ГКОУТЕРЕЧНАЯООШТЛЯРАТИНСКОГОРАЙОНА,,,
72,ГКОУУЛЛУБИЕВСКАЯСОШГУНИБСКОГОРАЙОНА,,,
73,ГКОУУРГУЛАЙСКАЯООШЦУМАДИНСКОГОРАЙОНА,,,
74,ГКОУЦАДАХСКАЯСОШЧАРОДИНСКОГОРАЙОНА,,,
75,ГКОУРЦДОДИ,,,
76,ГКОУЦУМИЛУХСКАЯСОШТЛЯРАТИНСКОГОРАЙОНА,,,
77,ГКОУШАВИНСКАЯСОШЦУМАДИНСКОГОРАЙОНА,,,
78,ГКОУЩЕДРИНСКАЯСОШТЛЯРАТИНСКОГОРАЙОНА,,,
79,ГКОУУЧТЮБИНСКАЯООШКАЗБЕКОВСКОГОРАЙОНА,,,
80,ГКОУРЦДОДИ,,,
81,ГКОУСОГАХВАХСКОГОРАЙОНА,,,
82,ГКОУСОГРАТЛИНСКАЯСОШГУНИБСКОГОРАЙОНА,,,
83,ГКОУТУРШУНАЙСКАЯООШКАЗБЕКОВСКОГОРАЙОНА,,,
84,ГКОУХАМЗАЮРТОВСКИЙЛИЦЕЙКАЗБЕКОВСКОГОРАЙОНА,,,
85,ГКОУШАНГОДИНСКОШИТЛИБСКАЯСОШГУНИБСКОГОРАЙОНА,,,
