,СОШ,Наличие
533,МКОУ ДУЧИНСКАЯ СОШ №2,YES
534,МКОУ ДЮБЕКСКАЯ СОШ ИМ. Ю БАЗУТАЕВА,
535,МКОУ ДЮЗЛЯРСКАЯ СОШ,
536,МКОУ ЕРСИНСКАЯ СОШ,YES
537,МКОУ Ефимовская ООШ,YES
538,МКОУ Зареченская СОШ,YES
539,МКОУ ЗАХИТСКАЯ СОШ,YES
540,МКОУ ЗЕЛЕНОМОРСКАЯ СОШ,YES
541,МКОУ ЗИДЬЯНСКАЯ СОШ,
542,МКОУ ЗИЗИКСКАЯ СОШ,YES
543,МКОУ ЗИЛОВСКАЯ СОШ,YES
544,МКОУ ЗИЛЬБАЧИНСКАЯ СОШ,YES
545,МКОУ ЗИЛЬДИКСКАЯ ООШ,YES
546,МКОУ ЗИЛЬМУКМАХИНСКАЯ ООШ,YES
547,МКОУ ЗИЛЬСКАЯ СОШ,YES
548,МКОУ Зиранинская СОШ,YES
549,МКОУ ЗИУРИБСКАЯ ООШ,YES
550,МКОУ ЗРЫХСКАЯ СОШ,YES
551,МКОУ ЗСОШ ИМЕНИ АМИРА ГАЗИ,
552,МКОУ ЗУБУТЛИ-МИАТЛИНСКАЯ СОШ,YES
553,МКОУ ЗУРИМАХИНСКАЯ ООШ,YES
554,МКОУ ЗУХРАБКЕНТСКАЯ ООШ,YES
555,МКОУ ИВАН-КУТАНСКАЯ ООШ,YES
556,МКОУ ИГАЛИНСКАЯ СОШ,YES
557,МКОУ Избербашская ШИ III-IV видов,
558,МКОУ ИЗБЕРБАШСКАЯ ШКОЛА-ИНТЕРНАТ,
559,МКОУ ИКРИНСКАЯ СОС ШКОЛА-ИНТЕРНАТ,
560,МКОУ ИКРИНСКАЯ СОШ,YES
561,МКОУ Иммунная СОШ,
562,МКОУ ИНГИШИНСКАЯ СОШ ,YES
563,МКОУ ИООШ,
564,МКОУ ИРАКИНСКАЯ ООШ,YES
565,МКОУ Ирганайская СОШ,YES
566,МКОУ ИРИБСКАЯ СОШ,YES
567,МКОУ ИСОШ,
568,МКОУ ИСПИКСКАЯ ООШ,YES
569,МКОУ ИСПИКСКАЯ СОШ ,YES
570,МКОУ ИЧИНСКАЯ ООШ,YES
571,МКОУ ИЧИЧАЛИНСКАЯ СОШ,YES
572,МКОУ Ишкартынская СОШ,YES
573,МКОУ КАБИРСКАЯ СОШ,YES
574,МКОУ Кадарская ООШ,YES
575,МКОУ КАДИРКЕНТСКАЯ СОШ,YES
576,МКОУ КАДЫРОТАРСКАЯ СОШ,YES
577,МКОУ КАЗМААУЛЬСКАЯ СОШ,YES
578,МКОУ КАКАМАХИНСКАЯ СОШ ,YES
579,МКОУ КАКАМАХИНСКАЯ СОШ,YES
580,МКОУ КАКИНСКАЯ СОШ,YES
581,МКОУ КАЛАДЖУХСКАЯ СОШ,YES
582,МКОУ Калинаульская СОШ  им Гайирханова,
583,МКОУ КАЛИНИНАУЛЬСКАЯ СОШ,YES
584,МКОУ КАЛИНОВСКАЯ СОШ,YES
585,МКОУ КАЛИНСКАЯ СОШ,YES
586,МКОУ КАЛУКСКАЯ СОШ,YES
587,МКОУ КАНАСИРАГИНСКАЯ СОШ,YES
588,МКОУ КАНДАУРАУЛЬСКАЯ СОШ,YES
589,МКОУ КАНДИКСКАЯ СОШ ИМ.Б.МИТАРОВА,YES
590,МКОУ КАНИНСКАЯ ООШ,YES
591,МКОУ КАНЦИЛЬСКАЯ СОШ,YES
592,МКОУ КАПИРКАЗМАЛЯРСКАЯ СОШ,YES
593,МКОУ КАПКАЙКЕНТСКАЯ СОШ,YES
594,МКОУ КАРАБУДАХКЕНТСКАЯ СОШ № 5,YES
595,МКОУ КАРАГАССКАЯ СОШ,YES
596,МКОУ КАРАДАХСКАЯ СОШ,YES
597,МКОУ КАРАКЮРИНСКАЯ СОШ,YES
598,МКОУ Карамахинская ООШ,YES
599,МКОУ КАРАНАЙАУЛЬСКАЯ СОШ,YES
600,МКОУ КАРАСУВСКАЯ СОШ,YES
601,МКОУ КАРАЦАНСКАЯ СОШ,YES
602,МКОУ КАРБАЧИМАХИНСКАЯ СОШ,YES
603,МКОУ Кардоновская СОШ,YES
604,МКОУ КАРЕКАДАНИНСКАЯ СОШ,YES
605,МКОУ КАРИНСКАЯ ООШ,YES
606,МКОУ КАРЛАБКИНСКАЯ СОШ,YES
607,МКОУ КАРЛАНЮРТОВСКАЯ СОШ,YES
608,МКОУ Карломарксовская СОШ,YES
609,МКОУ КАРТАСКАЗМАЛЯРСКАЯ СОШ,YES
610,МКОУ КАРЧАГСКАЯ СОШ,
611,МКОУ Касумкентская СОШ 1,
612,МКОУ КАСУМКЕНТСКАЯ СОШ №2,YES
613,МКОУ Кахибская СОШ,YES
614,МКОУ КАХЦУГСКАЯ СОШ,YES
615,МКОУ КАЧАЛКЕНТСКАЯ ООШ,YES
616,МКОУ КАШКЕНТСКАЯ СОШ,YES
617,МКОУ КАЯКЕНТСКАЯ СОШ № 2,YES
618,МКОУ КАЯКЕНТСКАЯ СОШ №1,YES
619,МКОУ КАЯЛИНСКАЯ СОШ-САД,YES
620,МКОУ КВАНХИДАТЛИНСКАЯ ООШ,YES
621,МКОУ КВАРДАЛСКАЯ ООШ,
622,МКОУ КЕГЕРСКАЯ СОШ,YES
623,МКОУ КЕМСИЮРТОВСКАЯ СОШ,YES
624,МКОУ КИЖАНИНСКАЯ ООШ,YES
625,МКОУ Кизлярская гим-ия 1_им. Ломоносова,
626,МКОУ Кизлярская гим-ия 6_им. Пушкина,
627,МКОУ Кикунинская СОШ,YES
628,МКОУ КИЛЯТЛИНСКАЯ СОШ,YES
629,МКОУ КИРКИНСКАЯ СОШ,YES
630,МКОУ КИРОВАУЛЬСКАЯ СОШ,YES
631,МКОУ КИЧИГАМРИНСКАЯ СОШ,YES
632,МКОУ КИЩИНСКАЯ МНОГОПРОФ. ГИМНАЗИЯ,YES
633,МКОУ КЛИЧХАНСКАЯ ООШ,YES
634,МКОУ КОКРЕКСКАЯ СОШ,YES
635,МКОУ Коктюбейская ООШ,YES
636,МКОУ КОРКМАСКАЛИНСКАЯ СОШ,
637,МКОУ КОРКМАСКАЛИНСКАЯ СОШ-1,
638,МКОУ КОРОДИНСКАЯ СОШ,YES
639,МКОУ КОСТЕКСКАЯ СОШ,YES
640,МКОУ Косякинская СОШ,YES
641,МКОУ Кочубейская СОШ_1,
642,МКОУ Кочубейская СОШ_2,
643,МКОУ Крайновская СОШ,YES
644,МКОУ Красновосходская СОШ,YES
645,МКОУ Краснооктябрьсякая СОШ,
646,МКОУ КРАСНОПАРТИЗАНСКАЯ СОШ,YES
647,МКОУ КСОШ ,YES
648,МКОУ КСОШ № 3,
649,МКОУ КСОШ,YES
650,МКОУ КСОШ_,
651,МКОУ КУАНИБСКАЯ ООШ,YES
652,МКОУ КУБАЧИНСКАЯ НО ШКОЛА-ДЕТ. САД,
653,МКОУ КУБАЧИНСКАЯ СОШ,YES
654,МКОУ КУГСКАЯ СОШ ИМ.Б.БАЙРАМБЕКОВА,YES
655,МКОУ КУДАГИНСКАЯ СОШ,YES
656,МКОУ КУДАЛИНСКАЯ СОШ,YES
657,МКОУ Кудутлинская СОШ,YES
658,МКОУ КУЖНИКСКАЯ СОШ,YES
659,МКОУ КУЙСУНСКАЯ СОШ,YES
660,МКОУ КУКВАЗСКАЯ НОШ,YES
661,МКОУ КУЛЕЦМИНСКАЯ СОШ,YES
662,МКОУ КУЛИБУХНИНСКАЯ ООШ,
663,МКОУ КУЛИДЖИНСКАЯ ООШ,YES
664,МКОУ КУЛИНСКАЯ СОШ №1,YES
665,МКОУ КУЛИНСКАЯ СОШ №2,YES
666,МКОУ КУЛЛАРСКАЯ СОШ,
667,МКОУ КУЛЬЗЕБСКАЯ СОШ,YES
668,МКОУ КУМИНСКАЯ ООШ,YES
669,МКОУ КУМЛИНСКАЯ СОШ,
670,МКОУ КУМУКСКАЯ СОШ,YES
671,МКОУ КУМУХСКАЯ СОШ,
672,МКОУ КУНБАТАРСКАЯ СОШ,YES
673,МКОУ КУНДЫНСКАЯ СОШ,YES
674,МКОУ КУНЗАХСКАЯ ООШ,YES
675,МКОУ КУНКИНСКАЯ СОШ,YES
676,МКОУ КУППИНСКАЯ СОШ,YES
677,МКОУ КУРАГСКАЯ СОШ,YES
678,МКОУ КУРАХСКАЯ СОШ №1,YES
679,МКОУ КУРАХСКАЯ СОШ №2,YES
680,МКОУ КУРЕКСКАЯ СОШ,YES
681,МКОУ КУРКАКСКАЯ СОШ,YES
682,МКОУ КУРКЕНТСКАЯ СОШ №1,YES
683,МКОУ КУРКЕНТСКАЯ СОШ №2,YES
684,МКОУ КУРКИНСКАЯ ООШ,YES
685,МКОУ КУРКЛИНСКАЯ СОШ,YES
686,МКОУ КУРУКАЛЬСКАЯ СОШ,YES
687,МКОУ КУРУШСКАЯ СОШ №1,YES
688,МКОУ КУРУШСКАЯ СОШ №2,YES
689,МКОУ КУРУШСКАЯ СОШ,YES
690,МКОУ КУРЬИМАХИНСКАЯ СОШ,YES
691,МКОУ КУТИШИНСКАЯ СОШ,YES
692,МКОУ КУТЛАБСКАЯ СОШ,YES
693,МКОУ КУТУЛЬСКАЯ ООШ,YES
694,МКОУ КУЧХЮРСКАЯ СОШ,YES
695,МКОУ КУШТИЛЬСКАЯ СОШ,YES
696,МКОУ КЧУНКАЗМАЛЯРСКАЯ СОШ,YES
697,МКОУ КЮРЯГСКАЯ СОШ,YES
698,МКОУ ЛАКИНСКАЯ ООШ,
699,МКОУ ЛЕВАШИНСКАЯ ГИМНАЗИЯ,YES
700,МКОУ ЛЕВАШИНСКАЯ СОШ №2,YES
701,МКОУ ЛЕВАШИНСКАЯ СОШ,YES
702,МКОУ ЛЕНИНАУЛЬСКАЯ СОШ,YES
703,МКОУ Ленинаульская СОШ_2,YES
704,МКОУ ЛЕНИНКЕНТСКАЯ СОШ,YES
705,МКОУ ЛИЦЕЙ,YES
706,МКОУ ЛИЩИНСКАЯ ООШ,YES
707,МКОУ ЛСОШ_1,
708,МКОУ ЛУТКУНСКАЯ СОШ,YES
709,МКОУ ЛЬВОВСКАЯ СОШ,YES
710,МКОУ ЛЯХЛИНСКАЯ СОШ,YES
711,МКОУ Маалинская СОШ,YES
712,МКОУ МАГАРАМКЕНТСКАЯ СОШ №1,YES
713,МКОУ МАГАРАМКЕНТСКАЯ СОШ №2,YES
714,МКОУ Магарская СОШ,YES
715,МКОУ МАДЖАЛИССКАЯ МЕЖРАЙОННАЯ СОШ,
716,МКОУ МАДЖАЛИССКАЯ СОШ,YES
717,МКОУ МАЛЛАКЕНТСКАЯ ООШ,YES
718,МКОУ Малоарешевская СОШ,YES
719,МКОУ Малокозыревская ООШ,YES
720,МКОУ МАМЕДКАЛИНСКАЯ ГИМНАЗИЯ,YES
721,МКОУ МАММАУЛЬСКАЯ СОШ,YES
722,МКОУ Манасаульская СОШ,YES
723,МКОУ МАРАГИНСКАЯ СОШ №1,YES
724,МКОУ МАРАГИНСКАЯ СОШ №2,YES
725,МКОУ МАЦЕЕВСКАЯ СОШ,YES
726,МКОУ Мачадинская СОШ,YES
727,МКОУ МАШАТДИНСКАЯ ООШ,YES
728,МКОУ МЕГЕБСКАЯ СОШ,YES
729,МКОУ МЕЖГЮЛЬСКАЯ СОШ,YES
730,МКОУ МЕКЕГИНСКИЙ ЛИЦЕЙ,YES
731,МКОУ МЕУСИШИНСКАЯ СОШ,YES
732,МКОУ МЕХЕЛЬТИНСКАЯ ООШ,YES
733,МКОУ МЕХЕЛЬТИНСКАЯ СОШ,YES
734,МКОУ МИАРСИНСКАЯ СОШ,YES
735,МКОУ МИАТЛИНСКАЯ СОШ,YES
736,МКОУ МИГЛАКАСИМАХИНСКАЯ СОШ,YES
737,МКОУ МИЖИГЛИНСКАЯ ООШ,YES
738,МКОУ МИКРАХКАЗМАЛЯРСКАЯ СОШ,YES
739,МКОУ МИКРАХСКАЯ СОШ,YES
740,МКОУ МИРЗИДТЫНСКАЯ ООШ,YES
741,МКОУ МИСКИНДЖИНСКАЯ СОШ,YES
742,МКОУ МИССИНСКАЯ СОШ,YES
743,МКОУ МИТАГИ - КАЗМАЛЯРСКАЯ СОШ,
744,МКОУ МИТАГИНСКАЯ ООШ,
745,МКОУ МИТЛИУРИБСКАЯ ООШ,YES
746,МКОУ Михеевская СОШ,YES
747,МКОУ МИЧУРИНСКАЯ СОШ,
748,МКОУ МОГИЛЕВСКАЯ СОШ,YES
749,МКОУ МОГОХСКАЯ ООШ,YES
750,МКОУ Могохская СОШ,YES
751,МКОУ МОКСОБСКАЯ СОШ,YES
752,МКОУ МОЛЛАКЕНТСКАЯ СОШ,YES
753,МКОУ МООШ,
754,МКОУ МОРСКАЯ СОШ,YES
755,МКОУ МПЛ_2,
756,МКОУ МСОШ №1,
757,МКОУ МУГАРТЫНСКАЯ СОШ,
758,МКОУ МУГЕРГАНСКАЯ СОШ,YES
759,МКОУ МУГИНСКИЙ ЛИЦЕЙ,
760,МКОУ МУЖУКАЙСКИЙ АГРОТЕХН. ЛИЦЕЙ,
761,МКОУ МУЗАИМСКАЯ СОШ,
762,МКОУ Мурадинская СОШ,YES
763,МКОУ МУРГУКСКАЯ СОШ,YES
764,МКОУ МУСУЛЬТЕМАХИНСКАЯ СОШ,YES
765,МКОУ МУЦАЛАУЛЬСКАЯ СОШ № 1,YES
766,МКОУ МУЦАЛАУЛЬСКАЯ СОШ № 2,YES
767,МКОУ МЮРЕГИНСКАЯ СОШ,YES
768,МКОУ Н.КЕГЕРСКАЯ СОШ,YES
769,МКОУ НАРИМАНСКАЯ СОШ,YES
770,МКОУ НАСКЕНТСКАЯ СОШ,YES
771,МКОУ НАЧ. ШКОЛА СЕЛА ЮНЫЙ ПАХАРЬ,
772,МКОУ НАЧАДИНСКАЯ СОШ,YES
773,МКОУ Некрасовская СОШ,YES
774,МКОУ НЕЧАЕВСКАЯ СОШ №1,YES
775,МКОУ НЕЧАЕВСКАЯ СОШ №2,YES
776,МКОУ Нижнебатлухская СОШ,
777,МКОУ НИЖНЕ-ИНХЕЛОВСКАЯ ООШ,YES
778,МКОУ НИЖНЕ-ИНХОВСКАЯ СОШ,YES
779,МКОУ Нижнеинхокваринская СОШ-сад,YES
780,МКОУ Нижнеказанищенская СОШ 4,
781,МКОУ НИЖНЕКАЗАНИЩЕНСКАЯ СОШ № 2,YES
782,МКОУ НИЖНЕМАХАРГИНСКАЯ СОШ,YES
783,МКОУ НИЖНЕМУЛЕБКИНСКАЯ СОШ,YES
784,МКОУ НИЖНЕ-УБЕКИНСКАЯ ООШ,YES
785,МКОУ НИЖНЕЧИРЮРТОВСКАЯ СОШ,
786,МКОУ НИЖНЕ-ЧУГЛИНСКАЯ СОШ,YES
787,МКОУ НИЧРАСКАЯ СОШ,YES
788,МКОУ Н-Каранайская ООШ,YES
789,МКОУ НОВО-АРГВАНИНСКАЯ СОШ,YES
790,МКОУ НОВОАУЛЬСКАЯ СОШ,YES
791,МКОУ НОВО-БАРШИНСКАЯ ООШ,YES
792,МКОУ Новобирюзякская СОШ,YES
793,МКОУ Нововладимировская СОШ,YES
794,МКОУ НОВОГАГАТЛИНСКАЯ СОШ,YES
795,МКОУ Ново-Георгиевская СОШ,
796,МКОУ Новогладовская ООШ,YES
797,МКОУ Ново-Дмитриевская СОШ,
798,МКОУ НОВОЗУБУТЛИНСКАЯ СОШ,YES
799,МКОУ НОВОКАРАКЮРИНСКАЯ СОШ,YES
800,МКОУ НОВОКАРИНСКАЯ СОШ,YES
801,МКОУ НОВОКАЯКЕНТСКАЯ НШ ДЕТ.-САД 1,
802,МКОУ Новокаякентская СОШ,YES
803,МКОУ НОВОКОСИНСКАЯ СОШ,YES
804,МКОУ НОВОКОСТЕКСКАЯ СОШ,YES
805,МКОУ Новокрестьяновская СОШ,YES
806,МКОУ Новокулинская СОШ 2,
807,МКОУ НОВОКУЛИНСКАЯ СОШ №1,YES
808,МКОУ НОВОЛАКСКАЯ ГИМНАЗИЯ,YES
809,МКОУ Новолакская СОШ 1,
810,МКОУ Новолидженская СОШ,YES
811,МКОУ НОВОМАКИНСКАЯ СОШ,YES
812,МКОУ НОВОМЕХЕЛЬТИНСКАЯ СОШ,YES
813,МКОУ Новомонастырская СОШ,YES
814,МКОУ НОВОМУГРИНСКАЯ СОШ,YES
815,МКОУ НОВОПОСЕЛКОВАЯ СОШ,YES
816,МКОУ Новоромановская СОШ,
817,МКОУ НОВОСАСИТЛИНСКАЯ СОШ,YES
818,МКОУ НОВОСЕЛЬСКАЯ СОШ,YES
819,МКОУ Новосеребряковская СОШ,YES
820,МКОУ НОВОУРКАРАХСКАЯ СОШ,YES
821,МКОУ НОВО-УСУРСКАЯ СОШ,YES
822,МКОУ НОВО-ФРИГСКАЯ СОШ,YES
823,МКОУ НОВОЧИРКЕЙСКАЯ СОШ №1,YES
824,МКОУ НОВОЧИРКЕЙСКАЯ СОШ №2,YES
825,МКОУ НОВОЧУРТАХСКАЯ СОШ №1,YES
826,МКОУ НОВОЧУРТАХСКАЯ СОШ №2,YES
827,МКОУ НОВОЧУРТАХСКАЯ СОШ,YES
828,МКОУ НОШ РАДОСТЬ,YES
829,МКОУ НЮГДИНСКАЯ СОШ,
830,МКОУ НЮТЮГСКАЯ СОШ,YES
831,МКОУ ОБОХСКАЯ СОШ,YES
832,МКОУ Огузерская СОШ,YES
833,МКОУ ОКТЯБРЬСКАЯ СОШ,YES
834,МКОУ ООШ ИМ. Г.ДАВЫДОВОЙ,
835,МКОУ ООШ ПОСЕЛКА БЕЛИДЖИ,
836,МКОУ ОРТАКОЛИНСКАЯ СОШ,YES
837,МКОУ ОРТАСТАЛЬСКАЯ СОШ,YES
838,МКОУ ОРТАТЮБИНСКАЯ СОШ,YES
839,МКОУ ОРУЖБИНСКАЯ СОШ,YES
840,МКОУ ОСМАНЮРТОВСКАЯ СОШ,YES
841,МКОУ ОХЛИНСКАЯ СОШ,YES
842,МКОУ ПАДАРСКАЯ СОШ,
843,МКОУ ПАРАУЛЬСКАЯ СОШ № 1,YES
844,МКОУ ПАРАУЛЬСКАЯ СОШ № 3,YES
845,МКОУ ПЕРВОМАЙСКАЯ ГИМНАЗИЯ,YES
846,МКОУ ПЕРВОМАЙСКАЯ СОШ №1,YES
847,МКОУ Первомайская СОШ,YES
848,МКОУ ПЕТРАКОВСКАЯ СОШ,YES
849,МКОУ ПИЛИГСКАЯ СОШ,YES
850,МКОУ ПОБЕДОВСКАЯ СОШ,YES
851,МКОУ ПОКРОВСКАЯ СОШ,YES
852,МКОУ ПРИВОЛЬНЕНСКАЯ СОШ,YES
853,МКОУ ПРИМОРСКАЯ ООШ,YES
854,МКОУ ПТИКЕНТСКАЯ ООШ,YES
855,МКОУ ПЯТИЛЕТКИНСКАЯ СОШ,YES
856,МКОУ РАССВЕТОВСКАЯ СОШ,YES
857,МКОУ Ратлубская СОШ,YES
858,МКОУ РАХАТИНСКАЯ СОШ,YES
859,МКОУ РИКВАНИНСКАЯ СОШ,YES
860,МКОУ РИЧИНСКАЯ СОШ,YES
861,МКОУ РОДНИКОВАЯ СОШ,YES
862,МКОУ Роздолевская СОШ,
863,МКОУ РТС-АУЛЬСКАЯ ООШ,YES
864,МКОУ РУБАССКАЯ СОШ,
865,МКОУ Ругельдинская СОШ,YES
866,МКОУ РУГУДЖИНСКАЯ СОШ,YES
867,МКОУ РУКЕЛЬСКАЯ ООШ ФИС ФРДО,
868,МКОУ РУКЕЛЬСКАЯ СОШ,
869,МКОУ РУШУЛЬСКАЯ СОШ,YES
870,МКОУ Рыбалкинская СОШ,YES
871,МКОУ С(К)ОШ № 10 (VIII ВИДА),YES
872,МКОУ САБНАВИНСКАЯ СОШ,
873,МКОУ САГАСИДЕЙБУКСКАЯ СОШ,YES
874,МКОУ САДОВАЯ СОШ,YES
875,МКОУ САИДКЕНТСКАЯ СОШ,YES
876,МКОУ САЙТАРКЕНТСКАЯ ООШ ,YES
877,МКОУ САЛИКСКАЯ СОШ ИМ.КУРБАНОВА Я.,
878,МКОУ САЛТЫНСКАЯ СОШ,YES
879,МКОУ САМУРСКАЯ СОШ,YES
880,МКОУ Сангишинская ООШ,YES
881,МКОУ САНЧИНСКАЯ СОШ,YES
882,МКОУ САРДАРКЕНТСКАЯ СОШ,YES
883,МКОУ Сар-Сарская СОШ,YES
884,МКОУ СЕГЕЛЯРСКАЯ НАЧАЛЬНАЯ ШКОЛА,
885,МКОУ СЕРГОКАЛИНСКАЯ СОШ №1,YES
886,МКОУ СЕРГОКАЛИНСКАЯ СОШ №2,YES
887,МКОУ СЕРТИЛЬСКАЯ СОШ,YES
888,МКОУ СИВУХСКАЯ СОШ,YES
889,МКОУ СИРАГИНСКАЯ СОШ,YES
890,МКОУ СИРТИЧСКАЯ СОШ,YES
891,МКОУ СМУГУЛЬСКАЯ СОШ,YES
892,МКОУ СОВЕТСКАЯ СОШ ,YES
893,МКОУ СОВЕТСКАЯ СОШ ИМ.Ш.Т.АМАЧИЕВА,YES
894,МКОУ СОВЕТСКАЯ СОШ,YES
895,МКОУ Совхозная СОШ 6 с.Юбилейное,YES
896,МКОУ Совхозная СОШ,YES
897,МКОУ СОГРАТЛИНСКАЯ ГИМНАЗИЯ,YES
898,МКОУ СОЛНЕЧНАЯ СОШ,YES
899,МКОУ СОШ  5,
900,МКОУ СОШ 1,YES
901,МКОУ СОШ 10,
902,МКОУ СОШ 11,
903,МКОУ СОШ 11,
904,МКОУ СОШ 12,
905,МКОУ СОШ 2,YES
906,МКОУ СОШ 2,YES
907,МКОУ СОШ 3,
908,МКОУ СОШ 3,
909,МКОУ СОШ 3,
910,МКОУ СОШ 4,
911,МКОУ СОШ 4,
912,МКОУ СОШ 5,
913,МКОУ СОШ 7 город Кизилюрт,
914,МКОУ СОШ 8,
915,МКОУ СОШ 8,
916,МКОУ СОШ 9 им. Гайдара,
917,МКОУ СОШ 9,
918,МКОУ СОШ № 1 ,YES
919,МКОУ СОШ № 1 СЕЛА БЕЛИДЖИ,YES
920,МКОУ СОШ № 1,YES
921,МКОУ СОШ № 10,YES
922,МКОУ СОШ № 11 Г. ИЗБЕРБАШ,YES
923,МКОУ СОШ № 11,YES
924,МКОУ СОШ № 12 Г. ИЗБЕРБАШ,YES
925,МКОУ СОШ № 16,YES
926,МКОУ СОШ № 2 ,YES
927,МКОУ СОШ № 2 ПОСЕЛКА БЕЛИДЖИ,YES
928,МКОУ СОШ № 2 ПОСЕЛКА МАМЕДКАЛА,YES
929,МКОУ СОШ № 2 СЕЛА БЕЛИДЖИ,YES
930,МКОУ СОШ № 2,YES
931,МКОУ СОШ № 3 Г. ЮЖНО-СУХОКУМСК,YES
932,МКОУ СОШ № 3 ИМ. С.А.ДЖАНХУВАТОВА,YES
933,МКОУ СОШ № 3 ПОСЕЛКА БЕЛИДЖИ,YES
934,МКОУ СОШ № 3 ПОСЕЛКА МАМЕДКАЛА,YES
935,МКОУ СОШ № 3,YES
936,МКОУ СОШ № 4 ПОСЕЛКА БЕЛИДЖИ,YES
937,МКОУ СОШ № 4,YES
938,МКОУ СОШ № 5,YES
939,МКОУ СОШ № 5,YES
940,МКОУ СОШ № 7 ИМ.А.АЛИБЕКОВА,YES
941,МКОУ СОШ № 7,YES
942,МКОУ СОШ № 8,YES
943,МКОУ СОШ № 8,YES
944,МКОУ СОШ №10 ИМ. А.И. ИСМАИЛОВА ,YES
945,МКОУ СОШ №11,YES
946,МКОУ СОШ №12 ИМ.Л.Н.ТОЛСТОГО,YES
947,МКОУ СОШ №17,YES
948,МКОУ СОШ №4 ,YES
949,МКОУ СОШ №6 ,YES
950,МКОУ СОШ СЕЛА НИЖНИЙ ДЖАЛГАН,
951,МКОУ СОШ_7,
952,МКОУ ССОШ,
953,МКОУ СТ. КАРЛАНЮРТОВСКАЯ СОШ,
954,МКОУ СТАЛЬСКАЯ ГИМНАЗИЯ,YES
955,МКОУ СТАЛЬСКАЯ СОШ № 2,YES
956,МКОУ СТАЛЬСКАЯ СОШ № 3,YES
957,МКОУ Старосеребряковская СОШ,YES
958,МКОУ Степновская ООШ,YES
959,МКОУ СУЛЕВКЕНТСКАЯ СОШ,YES
960,МКОУ СУЛТАНЯНГИЮРТОВСКАЯ СОШ №2,YES
961,МКОУ Султанянгиюртовская СОШ,YES
962,МКОУ СУМБАТЛИНСКАЯ ООШ,YES
963,МКОУ СУРХАЧИНСКАЯ ООШ,
964,МКОУ СУТБУКСКАЯ СОШ,YES
965,МКОУ СЮГЮТСКАЯ СОШ ИМ. М.МИТАРОВА,
966,МКОУ ТАГЗИРКЕНТСКАЯ ООШ,
967,МКОУ ТАГИРКЕНТ-КАЗМАЛЯРСКАЯ СОШ,YES
968,МКОУ ТАГИРКЕНТСКАЯ ООШ,YES
969,МКОУ Такалайская СОШ,YES
970,МКОУ Таловская СОШ,YES
971,МКОУ ТАМАЗАТЮБИНСКАЯ СОШ,YES
972,МКОУ ТАНДОВСКАЯ СОШ,YES
973,МКОУ Танусинская СОШ им. Шамхалова,
974,МКОУ ТАРУМОВСКАЯ СОШ,YES
975,МКОУ ТАСУТИНСКАЯ ООШ,YES
976,МКОУ ТАТИЛЬСКАЯ СОШ,YES
977,МКОУ ТАТЛЯРСКАЯ СОШ,
978,МКОУ ТАШКАПУРСКАЯ СОШ,YES
979,МКОУ ТЕКИПИРКЕНТСКАЯ ООШ,YES
980,МКОУ Телетлинская СОШ №1,YES
981,МКОУ Телетлинская СОШ №2,YES
982,МКОУ ТЕМИРАУЛЬСКАЯ СО,YES
983,МКОУ ТЕМИРГОЕВСКАЯ СОШ,YES
984,МКОУ ТЕРЕКЛИ-МЕКТЕБСКАЯ СОШ ,YES
985,МКОУ ТЕРЕКЛИ-МЕКТЕБСКАЯ СОШ,YES
986,МКОУ ТЕРЕЧНАЯ СОШ,YES
987,МКОУ Тидибская СОШ,YES
988,МКОУ ТИЛАГИНСКАЯ ООШ,YES
989,МКОУ ТИНИТСКАЯ СОШ,YES
990,МКОУ ТЛОГОБСКАЯ СОШ,YES
991,МКОУ ТЛОХСКАЯ СОШ,YES
992,МКОУ ТЛЯНУБСКАЯ СОШ,
993,МКОУ Тляратинская СОШ им Сайпулаева,YES
994,МКОУ ТЛЯРАТИНСКАЯ СОШ,YES
995,МКОУ Тлярошская СОШ_им. Махмудова,YES
996,МКОУ Тляхская СОШ,YES
997,МКОУ Тогохская СОШ,YES
998,МКОУ ТОТУРБИЙКАЛИНСКАЯ СОШ,YES
999,МКОУ ТПИГСКАЯ СОШ,YES
1000,МКОУ ТРИСАНЧИНСКАЯ С(П)ОШ,
1001,МКОУ ТСОШ,
1002,МКОУ ТУЗЛАМАХИНСКАЯ СОШ,YES
1003,МКОУ ТУКИТИНСКАЯ СОШ,YES
1004,МКОУ ТУРАГСКАЯ СОШ,YES
1005,МКОУ ТУРУФСКАЯ СОШ,YES
1006,МКОУ ТУРШУНАЙСКАЯ СОШ,YES
1007,МКОУ ТУХЧАРСКАЯ ООШ,YES
1008,МКОУ ТУХЧАРСКАЯ СОШ №1,YES
1009,МКОУ ТУХЧАРСКАЯ СОШ,YES
1010,МКОУ Тушиловская ООШ,YES
1011,МКОУ ТЮБИНСКАЯ ВСОШ,
1012,МКОУ Тюбинская СОШ,YES
1013,МКОУ ТЮПКУТАНСКАЯ СОШ,YES
1014,МКОУ УЙ-САЛГАНСКАЯ ООШ,YES
1015,МКОУ УЛЛУ - ТЕРКЕМЕНСКАЯ СОШ,
1016,МКОУ УЛЛУАИНСКАЯ СОШ,YES
1017,МКОУ УЛЛУГАТАГСКАЯ СОШ,YES
1018,МКОУ УЛУЗСКАЯ ООШ,YES
1019,МКОУ УМЛ,
