,СОШ,Наличие
135,МБОУ Кадетская ШИ 1-ый Даг-ий КК,
136,МБОУ КАКАШУРИНСКАЯ СОШ № 1,YES
137,МБОУ КАКАШУРИНСКАЯ СОШ № 2,YES
138,МБОУ КАРАБУДАХКЕНТСКАЯ СОШ № 2,YES
139,МБОУ КАРАБУДАХКЕНТСКАЯ СОШ №1,YES
140,МБОУ Карамахинская СОШ,YES
141,МБОУ КАРАТИНСКАЯ ОБЩЕОБР. ГИМНАЗИЯ,YES
142,МБОУ КАРАТИНСКАЯ СОШ,YES
143,МБОУ Каспийская гимназия 11,YES
144,МБОУ КАСПИЙСКАЯ ГИМНАЗИЯ,YES
145,МБОУ КАСПИЙСКИЙ ЛИЦЕЙ 8,
146,МБОУ Кафыркумухская СОШ,
147,МБОУ Кванадинская СОШ,YES
148,МБОУ Кединская СОШ-САД,YES
149,МБОУ КМШИ,YES
150,МБОУ КСОШ №3,
151,МБОУ КУДИЯБРОСИНСКАЯ СОШ,YES
152,МБОУ Лицей 22,
153,МБОУ Лицей 52,
154,МБОУ Лицей 8,
155,МБОУ Лицей №51 г. Махачкала,YES
156,МБОУ ЛОЛОГОНИТЛИНСКАЯ СОШ,YES
157,МБОУ МАНАСКЕНТСКАЯ СОШ,YES
158,МБОУ МАНАССКАЯ СОШ,YES
159,МБОУ Махач-кий многопрофильный лицей 39,
160,МБОУ МЕСТЕРУХСКАЯ СОШ,YES
161,МБОУ Метрадинская СОШ-САД,YES
162,МБОУ Многопроф-ая гим-ия 6 г.Махачкала,
163,МБОУ Многопрофильный лицей 3 г.Махачкала,
164,МБОУ Многопрофильный лицей 9,
165,МБОУ Многопроф-я гим-ия 30_г. Махачкала,
166,МБОУ Многопроф-я гим-ия 38_г. Махачкала,
167,МБОУ Многопроф-я гим-ия 5_г. Махачкала,
168,МБОУ Н.Дженгутайская СОШ,
169,МБОУ Нижнегакваринская  СОШ-САД,
170,МБОУ Нижнеказани-ая СОШ 3,
171,МБОУ Нижнеказанищенская СОШ 2,
172,МБОУ Нижнеказан-кий многопроф-ый лицей,
173,МБОУ НОВОВИКРИНСКАЯ СОШ,YES
174,МБОУ ООШ 23 г. Махачкала,
175,МБОУ ПАРАУЛЬСКАЯ СОШ №2,YES
176,МБОУ Первомайская СОШ,YES
177,МБОУ С(К)ОШИ № 7,
178,МБОУ Саситлинская СОШ,YES
179,МБОУ СОШ  3 г. Каспийск,
180,МБОУ СОШ 1,YES
181,МБОУ СОШ 1,YES
182,МБОУ СОШ 10,
183,МБОУ СОШ 11,
184,МБОУ СОШ 12,
185,МБОУ СОШ 13 г. Дербент,
186,МБОУ СОШ 14,
187,МБОУ СОШ 15,
188,МБОУ СОШ 15_им.Цахаева г. Махачкала,
189,МБОУ СОШ 16,
190,МБОУ СОШ 16_г. Махачкала,
191,МБОУ СОШ 17,
192,МБОУ СОШ 18,
193,МБОУ СОШ 20 им. Р. Гамзатова г.Дербент,
194,МБОУ СОШ 21 г. Дербент РД,
195,МБОУ СОШ 24 Махачкала,
196,МБОУ СОШ 25,
197,МБОУ СОШ 29,
198,МБОУ СОШ 3,
199,МБОУ СОШ 31,
200,МБОУ СОШ 32 г.Махачкала,
201,МБОУ СОШ 34 г. Махачкала,
202,МБОУ СОШ 36,
203,МБОУ СОШ 40,
204,МБОУ СОШ 42,
205,МБОУ СОШ 43,
206,МБОУ СОШ 44,
207,МБОУ СОШ 45,
208,МБОУ СОШ 46_г. Махачкала,
209,МБОУ СОШ 47,
210,МБОУ СОШ 48_г. Махачкала,
211,МБОУ СОШ 5 с. Нижнее Казанище,
212,МБОУ СОШ 53,
213,МБОУ СОШ 55_г. Махачкала,
214,МБОУ СОШ 58_г. Махачкала,
215,МБОУ СОШ 6 г. Каспийск,
216,МБОУ СОШ 6,
217,МБОУ СОШ 60,
218,МБОУ СОШ 8,
219,МБОУ СОШ 9,
220,МБОУ СОШ № 11 Г. КАСПИЙСКА,YES
221,МБОУ СОШ № 14,YES
222,МБОУ СОШ № 2 Г. КАСПИЙСКА,YES
223,МБОУ СОШ № 2,YES
224,МБОУ СОШ № 20 Г.ДЕРБЕНТ РД,YES
225,МБОУ СОШ № 21 Г.ДЕРБЕНТ РД,YES
226,МБОУ СОШ № 21 г.Махачкала,YES
227,МБОУ СОШ № 3 Г. КАСПИЙСКА,YES
228,МБОУ СОШ № 3 Г.ДЕРБЕНТ РД,YES
229,МБОУ СОШ № 4  ДАГЕСТАНСКИЕ ОГНИ,YES
230,МБОУ СОШ № 4,YES
231,МБОУ СОШ № 4,YES
232,МБОУ СОШ № 49,YES
233,МБОУ СОШ № 6  ДАГЕСТАНСКИЕ ОГНИ,YES
234,МБОУ СОШ № 6 ИМ. ОМАРОВА М.О.,YES
235,МБОУ СОШ № 9 Г. КАСПИЙСКА,YES
236,МБОУ СОШ № 9,YES
237,МБОУ СОШ №1 ДАГЕСТАНСКИЕ ОГНИ,YES
238,МБОУ СОШ №11 Г.ДЕРБЕНТ РД,YES
239,МБОУ СОШ №12 г. Махачкала,YES
240,МБОУ СОШ №13,YES
