,CОШ
316, кунзахская оош
317, кункинская сош
318, куппинская сош
319, курагская сош
320, курахская сош №2
321, курекская сош
322, куркакская сош
323, куркентская сош №1
324, куркентская сош №2
325, куркинская оош
326, куркинская оош
327, курклинская сош
328, курукальская сош
329, курушская сош
330, курьимахинская сош
331, кутишинская сош
332, кутлабская сош
333, кутульская оош
334, кчунказмалярская сош
335, кюрягская сош
336, левашинская гимназия
337, левашинская сош
338, ленинаульская сош
339, лищинская оош
340, луткунская сош
341, львовская сош
342, ляхлинская сош
343, маалинская сош
344, магарамкентская сош №2
345, магарская сош
346, маллакентская оош
347, малоарешевская сош
348, малокозыревская оош
349, манасаульская сош
350, марагинская сош №1
351, марагинская сош №2
352, мацеевская сош
353, мачадинская сош
354, машатдинская оош
355, мегебская сош
356, мехельтинская оош
357, мехельтинская сош
358, миарсинская сош
359, миатлинская сош
360, миглакасимахинская сош
361, мижиглинская оош
362, микрахказмалярская сош
363, микрахская сош
364, мирзидтынская оош
365, мискинджинская сош
366, миссинская сош
367, михеевская сош
368, могохская оош
369, могохская сош
370, моллакентская сош
371, морская сош
372, мурадинская сош
373, мургукская сош
374, мусультемахинская сош
375, муцалаульская сош № 2
376, мюрегинская сош
377, наскентская сош
378, начадинская сош
379, некрасовская сош
380, нечаевская сош №1
381, нечаевская сош №2
382, нижне-инховская сош
383, нижнеказанищенская сош № 2
384, нижнемахаргинская сош
385, нижнемулебкинская сош
386, нижне-убекинская оош
387, нижне-чуглинская сош
388, ничраская сош
389, н-каранайская оош
390, ново-аргванинская сош
391, новобирюзякская сош
392, нововладимировская сош
393, новогладовская оош
394, новокаракюринская сош
395, новокаринская сош
396, новокаякентская сош
397, новокостекская сош
398, новокрестьяновская сош
399, новокулинская сош №1
400, новолидженская сош
401, новомакинская сош
402, новомехельтинская сош
403, новомонастырская сош
404, новомугринская сош
405, новопоселковая сош
406, новосаситлинская сош
407, новосельская сош
408, новосеребряковская сош
409, новоуркарахская сош
410, ново-усурская сош
411, новочиркейская сош №1
412, новочуртахская сош №1
413, новочуртахская сош №2
414, нютюгская сош
415, обохская сош
416, огузерская сош
417, октябрьская сош
418, ортаколинская сош
419, ортастальская сош
420, оружбинская сош
421, охлинская сош
422, первомайская сош №1
423, петраковская сош
424, пилигская сош
425, победовская сош
426, покровская сош
427, привольненская сош
428, приморская оош
429, птикентская оош
430, пятилеткинская сош
431, рассветовская сош
432, рахатинская сош
433, рикванинская сош
434, ричинская сош
435, родниковая сош
436, ртс-аульская оош
437, ругуджинская сош
438, рушульская сош
439, рыбалкинская сош
440, сагасидейбукская сош
441, садовая сош
442, саидкентская сош
443, сайтаркентская оош 
444, салтынская сош
445, самурская сош
446, сангишинская оош
447, сардаркентская сош
448, сар-сарская сош
449, сергокалинская сош №1
450, сергокалинская сош №2
451, сертильская сош
452, сивухская сош
453, сиртичская сош
454, смугульская сош
455, советская сош
456, советская сош
457, совхозная сош
458, солнечная сош
459, сош № 1
460, сош № 11
461, сош № 16
462, сош № 3
463, сош № 3
464, сош № 5
465, сош № 5
466, сош № 5
467, сош № 5
468, сош № 5
469, сош № 5
470, сош № 7
471, сош № 8
472, сош № 8
473, сош № 8
474, сош № 8
475, сош №11
476, сош №11
477, сош №11
478, сош №17
479, сош №4 
480, стальская гимназия
481, старосеребряковская сош
482, степновская оош
483, султанянгиюртовская сош №2
484, сумбатлинская оош
485, сутбукская сош
486, тагиркент-казмалярская сош
487, тагиркентская оош
488, такалайская сош
489, таловская сош
490, тамазатюбинская сош
491, тандовская сош
492, тарумовская сош
493, тасутинская оош
494, татильская сош
495, ташкапурская сош
496, текипиркентская оош
497, теречная сош
498, тилагинская оош
499, тинитская сош
500, тлогобская сош
501, тлохская сош
502, тляратинская сош
503, тляхская сош
504, тпигская сош
505, тузламахинская сош
506, турагская сош
507, туруфская сош
508, туршунайская сош
509, тухчарская оош
510, тухчарская сош №1
511, тухчарская сош
512, тушиловская оош
513, тюпкутанская сош
514, уй-салганская оош
515, уллуаинская сош
516, уллугатагская сош
517, улузская оош
518, унтынская оош
519, унчукатлинская сош
520, урагинская сош
521, урадинская сош
522, уралинская сош
523, ургинская сош
524, урминская оош
525, урминская сош
526, урцакинская оош
527, усемикентская сош
528, усугская сош
529, уцмиюртовская сош
530, ушнигская сош
531, фийская сош
532, фиргильская сош
533, фитинская сош
534, хадагинская оош
535, хаджалмахинская оош
536, хаджалмахинская сош
537, хайминская нош
538, халагская сош
539, ханагская сош
540, ханакская оош
541, харбукская сош
542, хасанайская сош
543, хахитинская сош
544, хвартикунинская сош
545, хили-пенджикская сош
546, хиндахская оош
547, хиндахская сош
548, хкемская оош
549, хорельская сош
550, хосрехская сош
551, хотодинская сош
552, хоточинская сош
553, хпеджская сош
554, хпюкская сош
555, хрюгская сош
556, хубарская сош
557, худигская сош
558, хулисминская оош
559, хунгиянская оош
560, хунинская оош
561, хурхинская сош
562, хуршнинская сош
563, хурякская оош
564, хустильская сош
565, хутхульская сош
566, хуцеевская сош
567, хучнинская сош №2
568, хюрехюрская сош
569, цанакская сош
570, цанатлинская оош
571, цатанихская сош
572, целегюнская сош
573, цизгаринская оош
574, цилитлинская сош
575, цудахарская сош
576, цудукская оош
577, цуликанинская оош
578, цураинская оош
579, цурибская сош
580, цуртильская сош
581, цухтамахинская сош
582, цущарская оош
583, цыйшинская сош
584, чабанмахинская сош
585, чалдинская сош
586, чанковская сош
587, чанкурбенская сош
588, чапаевская сош №1
589, чапаевская сош №2
590, чаравалинская сош
591, черенская оош
592, черняевская сош
593, чиликарская оош
594, чинимахинская оош
595, чирагская сош
596, чиркатинская сош
597, читлинская оош
598, чох-коммунская сош
599, чохская сош
600, чулатская сош
601, чумлинская сош
602, чунинская сош
603, чуртахская оош
604, чухверкентская сош
605, шагадинская сош
606, шаднинская оош
607, шамилькалинская сош
608, шангодинская сош
609, шидибская сош
