МКОУ ДЗЕРЖИНСКАЯ СОШ
МКОУ ДМЛ им. Гаджиева
МКОУ ДОРГЕЛИНСКАЯ СОШ №2
МКОУ ДСОШ
МКОУ ДСОШ ИМЕНИ С. РАБАДАНОВА
МКОУ ДСОШ
МКОУ Дубкинская СОШ им. Салимханова
МКОУ ДУБРИМАХИНСКАЯ СОШ
МКОУ ДУЧИНСКАЯ СОШ №1
МКОУ ДЮБЕКСКАЯ СОШ ИМ. Ю БАЗУТАЕВА
МКОУ Зареченская СОШ Киз-ляр. рай
МКОУ ЗЕЛЕНОМОРСКАЯ СОШ
МКОУ ЗИЗИКСКАЯ СОШ
МКОУ ЗИЛОВСКАЯ СОШ
МКОУ ЗИЛЬМУКМАХИНСКАЯ ООШ
МКОУ ЗИЛЬСКАЯ СОШ
МКОУ Зиранинская СОШ
МКОУ ЗИУРИБСКАЯ ООШ
МКОУ ЗСОШ ИМЕНИ АМИРА ГАЗИ
МКОУ ЗУБУТЛИ-МИАТЛИНСКАЯ СОШ
МКОУ ЗУРИМАХИНСКАЯ ООШ
МКОУ ЗУХРАБКЕНТСКАЯ ООШ
МКОУ Избербашская ШИ III-IV видов
МКОУ ИЗБЕРБАШСКАЯ ШКОЛА-ИНТЕРНАТ
МКОУ ИКРИНСКАЯ СОС ШКОЛА-ИНТЕРНАТ
МКОУ Иммунная СОШ Тарум-ий р-он
МКОУ ИНГИШИНСКАЯ СОШ
МКОУ ИООШ
МКОУ ИСОШ
МКОУ ИСПИКСКАЯ ООШ
МКОУ ИСПИКСКАЯ СОШ
МКОУ КАБИРСКАЯ СОШ
МКОУ КАДИРКЕНТСКАЯ СОШ
МКОУ КАДЫРОТАРСКАЯ СОШ
МКОУ Калинаульская СОШ им Гайирханова
МКОУ КАЛИНОВСКАЯ СОШ
МКОУ КАНАСИРАГИНСКАЯ СОШ
МКОУ КАНДИКСКАЯ СОШ ИМ.Б.МИТАРОВА
МКОУ КАНИНСКАЯ ООШ
МКОУ КАНЦИЛЬСКАЯ СОШ
МКОУ КАРАГАССКАЯ СОШ
МКОУ КАРАДАХСКАЯ СОШ
МКОУ КАРАКЮРИНСКАЯ СОШ
МКОУ КАРАСУВСКАЯ СОШ
МКОУ КАРАЦАНСКАЯ СОШ
МКОУ КАРЕКАДАНИНСКАЯ СОШ
МКОУ КАРИНСКАЯ ООШ
МКОУ КАРЛАНЮРТОВСКАЯ СОШ
МКОУ Карломарксовская СОШ
МКОУ КАРТАСКАЗМАЛЯРСКАЯ СОШ
МКОУ КАРЧАГСКАЯ СОШ
МКОУ Кахибская СОШ
МКОУ КАХЦУГСКАЯ СОШ
МКОУ КАЧАЛКЕНТСКАЯ ООШ
МКОУ КАШКЕНТСКАЯ СОШ
МКОУ КАЯЛИНСКАЯ СОШ-САД
МКОУ КВАНХИДАТЛИНСКАЯ ООШ
МКОУ КВАРДАЛСКАЯ ООШ
МКОУ КЕГЕРСКАЯ СОШ
МКОУ КЕМСИЮРТОВСКАЯ СОШ
МКОУ КИЖАНИНСКАЯ ООШ
МКОУ Кизлярская гим-ия 1 Ломоносова_
МКОУ Кизлярская гим-ия 1_им. Ломоносова
МКОУ Кизлярская гим-ия 6 им Пушкина_
МКОУ Кизлярская гим-ия 6_им. Пушкина
МКОУ КИЛЯТЛИНСКАЯ СОШ
МКОУ КИРОВАУЛЬСКАЯ СОШ
МКОУ КИЧИГАМРИНСКАЯ СОШ
МКОУ КИЩИНСКАЯ МНОГОПРОФ. ГИМНАЗИЯ
МКОУ КЛИЧХАНСКАЯ ООШ
МКОУ КНОШ
МКОУ КОКРЕКСКАЯ СОШ
МКОУ Коктюбейская ООШ
МКОУ КОРОДИНСКАЯ СОШ
МКОУ КОСТЕКСКАЯ СОШ
МКОУ Косякинская СОШ
МКОУ Краснооктябрьсякая СОШ
МКОУ КРАСНОПАРТИЗАНСКАЯ СОШ
МКОУ КСОШ
МКОУ КСОШ № 3
МКОУ КСОШ
МКОУ КСОШ_
МКОУ КСОШ_
МКОУ КУАНИБСКАЯ ООШ
МКОУ КУБАЧИНСКАЯ НО ШКОЛА-ДЕТ. САД
МКОУ КУГСКАЯ СОШ ИМ.Б.БАЙРАМБЕКОВА
МКОУ КУДАЛИНСКАЯ СОШ
МКОУ Кудутлинская СОШ Герг-й район
МКОУ КУЖНИКСКАЯ СОШ
МКОУ КУЛИБУХНИНСКАЯ ООШ
МКОУ КУЛИДЖИНСКАЯ ООШ
МКОУ КУЛЬЗЕБСКАЯ СОШ
МКОУ КУМИНСКАЯ ООШ
МКОУ КУМЛИНСКАЯ СОШ
МКОУ КУМУКСКАЯ СОШ
МКОУ КУНДЫНСКАЯ СОШ
МКОУ КУНЗАХСКАЯ ООШ
МКОУ КУРЕКСКАЯ СОШ
МКОУ КУРКАКСКАЯ СОШ
МКОУ КУРКЛИНСКАЯ СОШ
МКОУ КУТИШИНСКАЯ СОШ
МКОУ КУТЛАБСКАЯ СОШ
МКОУ КУТУЛЬСКАЯ ООШ
МКОУ КУЧХЮРСКАЯ СОШ
МКОУ КУШТИЛЬСКАЯ СОШ
МКОУ КЮРЯГСКАЯ СОШ
МКОУ ЛЕНИНКЕНТСКАЯ СОШ
МКОУ ЛИЦЕЙ
МКОУ ЛИЩИНСКАЯ ООШ
МКОУ ЛСОШ 1
МКОУ ЛСОШ 2
МКОУ ЛСОШ_1
МКОУ ЛЯХЛИНСКАЯ СОШ
МКОУ МАДЖАЛИССКАЯ МЕЖРАЙОННАЯ СОШ
МКОУ МАЛЛАКЕНТСКАЯ ООШ
МКОУ Малоарешевская СОШ
МКОУ МАММАУЛЬСКАЯ СОШ
МКОУ МАРАГИНСКАЯ СОШ №1
МКОУ МАРАГИНСКАЯ СОШ №2
МКОУ МАЦЕЕВСКАЯ СОШ
МКОУ МАШАТДИНСКАЯ ООШ
МКОУ МЕГЕБСКАЯ СОШ
МКОУ МЕЖГЮЛЬСКАЯ СОШ
МКОУ МИАРСИНСКАЯ СОШ
МКОУ МИАТЛИНСКАЯ СОШ
МКОУ МИГЛАКАСИМАХИНСКАЯ СОШ
МКОУ МИЖИГЛИНСКАЯ ООШ
МКОУ МИТЛИУРИБСКАЯ ООШ
МКОУ Михеевская СОШ
МКОУ МОГИЛЕВСКАЯ СОШ
МКОУ МОГОХСКАЯ ООШ
МКОУ Могохская СОШ
МКОУ МОКСОБСКАЯ СОШ
МКОУ МОЛЛАКЕНТСКАЯ СОШ
МКОУ МООШ
МКОУ МПЛ_2
МКОУ МСОШ №1
МКОУ МУЖУКАЙСКИЙ АГРОТЕХ. ЛИЦЕЙ
МКОУ МУЖУКАЙСКИЙ АГРОТЕХН. ЛИЦЕЙ
МКОУ Мурадинская СОШ Герг-й район
МКОУ МУРГУКСКАЯ СОШ
МКОУ МУЦАЛАУЛЬСКАЯ СОШ № 1
МКОУ МУЦАЛАУЛЬСКАЯ СОШ № 2
МКОУ НАЧ. ШКОЛА ЮНЫЙ ПАХАРЬ
МКОУ НАЧАДИНСКАЯ СОШ
МКОУ Нижнебатлухская СОШ
МКОУ НИЖНЕМАХАРГИНСКАЯ СОШ
МКОУ НИЖНЕМУЛЕБКИНСКАЯ СОШ
МКОУ НИЖНЕ-УБЕКИНСКАЯ ООШ
МКОУ НИЧРАСКАЯ СОШ
МКОУ НОВО-БАРШИНСКАЯ ООШ
МКОУ Новобирюзякская СОШ
МКОУ Нововладимировская СОШ
МКОУ НОВОГАГАТЛИНСКАЯ СОШ
МКОУ Ново-Георгиевская СОШ
МКОУ Ново-Дмитриевская СОШ
МКОУ НОВОЗУБУТЛИНСКАЯ СОШ
МКОУ НОВОКАРИНСКАЯ СОШ
МКОУ НОВОКАЯКЕНТСКАЯ НШ ДЕТ.-САД 1
МКОУ НОВОКОСИНСКАЯ СОШ
МКОУ НОВОКОСТЕКСКАЯ СОШ
МКОУ Новокрестьяновская СОШ
МКОУ Новокулинская СОШ 2 Новалак район
МКОУ НОВОКУЛИНСКАЯ СОШ №1
МКОУ Новомонастырская СОШ
МКОУ НОВОМУГРИНСКАЯ СОШ
МКОУ НОВОПОСЕЛКОВАЯ СОШ
